Nb;Sc;Ta;Ti;Zr;Mo;Cr;Mn;Fe;Hf;Co;Si;Mg;V;W;Y;In;Ag;Ga;Cd;Sb;Te;Cu;Re;Ge;Hg;Ru;Al;As;Zn;Ni;Ir;Bi;Au;Pt;Pb;Rh;Pd;Sn;stoich_entropy;delta;avg_VEC;Formation Energy (eV/atom);Bulk Modulus (GPa);Shear Modulus (GPa);Density;Melting_Temperature;LMP;GB ratio;Omega;Log_10(K_A);Origin;Cluster;Normalized Composition
;;;;;0.28;0.24;;;;0.33;;;;;;;;;;;;;;0.06;;;;;;;;;;;;0.09;;;1.45;0.04;7.75;-0.13;200.95;88.49;9.39;1852.55;31.91;0.44;1.75;0.36;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Mo0.28Cr0.24Co0.33Ge0.06Rh0.09
;;;;;;0.4;0.31;0.17;;;0.06;;;;;;;;;;;;;;;;;;;0.06;;;;;;;;;1.37;0.05;6.78;-0.14;191.15;94.16;7.7;1770.24;30.7;0.49;1.47;-1.39;Brute Force HEA;Co0.09Cr0.26Fe0.26Mn0.32Si0.07;Cr0.4Mn0.31Fe0.17Si0.06Ni0.06
;;;;;;0.24;0.32;0.15;;0.21;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.52;0.06;7.11;-0.14;184.95;91.08;7.57;1679.6;30.65;0.49;1.53;-1.49;Brute Force HEA;Co0.09Cr0.26Fe0.26Mn0.32Si0.07;Cr0.24Mn0.32Fe0.15Co0.21Si0.08
;;;;;0.2;0.2;0.2;0.2;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;1.61;0.04;8.0;-0.19;192.62;94.8;8.44;1556.1;32.12;0.49;1.16;0.25;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.2Cr0.2Mn0.2Fe0.2Ga0.2
;;;;;0.2;0.2;;0.2;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;0.2;;;1.61;0.03;8.0;-0.18;200.17;90.53;9.51;1804.19;32.06;0.45;1.39;0.38;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Mo0.2Cr0.2Fe0.2Cu0.2Rh0.2
;;;;;0.24;0.2;;;;;;;;;;;;;;;;0.22;;;;0.21;;;;0.13;;;;;;;;;1.59;0.04;8.04;-0.17;216.87;96.96;9.69;1867.1;32.03;0.45;1.53;0.36;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Mo0.24Cr0.2Cu0.22Ru0.21Ni0.13
;;;;;0.2;0.21;0.21;0.2;;;;;;;;;;0.18;;;;;;;;;;;;;;;;;;;;;1.61;0.03;7.87;-0.17;193.65;97.23;8.35;1610.67;32.12;0.5;1.31;0.36;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.2Cr0.21Mn0.21Fe0.2Ga0.18
;;;;;0.17;;0.26;;;0.18;;;0.23;;;;;0.16;;;;;;;;;;;;;;;;;;;;;1.59;0.03;7.67;-0.16;195.88;94.55;8.19;1618.98;32.13;0.48;1.36;0.25;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.17Mn0.26Co0.18V0.23Ga0.16
;;;;;0.18;0.22;0.23;0.21;;;;;;;;;;0.16;;;;;;;;;;;;;;;;;;;;;1.6;0.03;7.79;-0.16;187.79;94.07;8.48;1631.08;32.12;0.5;1.43;0.34;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.18Cr0.22Mn0.23Fe0.21Ga0.16
;;;;;0.19;0.23;;;;0.19;;;;;;;;0.15;;;;;;;;0.24;;;;;;;;;;;;;1.6;0.04;8.11;-0.17;223.95;103.32;9.37;1733.56;31.61;0.46;1.4;0.23;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.19Cr0.23Co0.19Ga0.15Ru0.24
