Alloy;K_A (mg2*cm-4*h-1);Temperature (K);Log_10(K_A);Normalized Composition
Alloy 625;28,7154;1373;1,45811487;Cr0.259Al0.004Ti0.002Mo0.056Nb0.022Ta0.000C0.002Ni0.653
Alloy 625;36,4196;1423;1,561335172;Cr0.259Al0.004Ti0.002Mo0.056Nb0.022Ta0.000C0.002Ni0.653
Alloy 718;28,5671;1373;1,455866155;Cr0.211Al0.011Ti0.011Mo0.018Nb0.026Ta0.000C0.002B0.000Fe0.191Ni0.529
Alloy 718;43,3921;1423;1,637410669;Cr0.211Al0.011Ti0.011Mo0.018Nb0.026Ta0.000C0.002B0.000Fe0.191Ni0.529
Astroloy;3,2373;1373;0,510182947;Co0.144Cr0.164Al0.093Ti0.041Mo0.031W0.012C0.003B0.002Zr0.000Ni0.510
Astroloy;61,7246;1423;1,790458284;Co0.144Cr0.164Al0.093Ti0.041Mo0.031W0.012C0.003B0.002Zr0.000Ni0.510
B-1900;0,0531;1273;-1,274905479;Co0.096Cr0.087Al0.126Ti0.012Mo0.035W0.000Nb0.001Ta0.013C0.005B0.001Zr0.000Fe0.020Ni0.602
B-1900;0,192685714;1373;-0,715150483;Co0.096Cr0.087Al0.126Ti0.012Mo0.035W0.000Nb0.001Ta0.013C0.005B0.001Zr0.000Fe0.020Ni0.602
B-1900;1,68374;1423;0,226275029;Co0.096Cr0.087Al0.126Ti0.012Mo0.035W0.000Nb0.001Ta0.013C0.005B0.001Zr0.000Fe0.020Ni0.602
B-1900+Hf;0,722166667;1373;-0,141362561;Co0.097Cr0.088Al0.127Ti0.012Mo0.036W0.000Nb0.001Ta0.014C0.005B0.001Zr0.001Hf0.003Ni0.617
B-1900+Hf;1,1005;1423;0,041590047;Co0.097Cr0.088Al0.127Ti0.012Mo0.036W0.000Nb0.001Ta0.014C0.005B0.001Zr0.001Hf0.003Ni0.617
IN-100;28,493;1366;1,454738178;Co0.137Cr0.104Al0.110Ti0.062Mo0.017C0.008B0.001Zr0.000V0.011Ni0.550
IN-100;46,062;1373;1,663342791;Co0.137Cr0.104Al0.110Ti0.062Mo0.017C0.008B0.001Zr0.000V0.011Ni0.550
IN-100;97,48553846;1423;1,988940195;Co0.137Cr0.104Al0.110Ti0.062Mo0.017C0.008B0.001Zr0.000V0.011Ni0.550
IN-713 LC;0,715;1373;-0,145693958;Cr0.127Al0.121Ti0.007Mo0.026Nb0.012C0.002B0.001Zr0.001Fe0.020Ni0.684
IN-713 LC;1,6735;1423;0,223625717;Cr0.127Al0.121Ti0.007Mo0.026Nb0.012C0.002B0.001Zr0.001Fe0.020Ni0.684
IN-738;1,698;1273;0,229937686;Co0.082Cr0.175Al0.071Ti0.040Mo0.010W0.008Nb0.005Ta0.005C0.008B0.001Zr0.001Ni0.593
IN-738;29,326;1373;1,46725283;Co0.082Cr0.175Al0.071Ti0.040Mo0.010W0.008Nb0.005Ta0.005C0.008B0.001Zr0.001Ni0.593
IN-738;37,9316;1423;1,579001162;Co0.082Cr0.175Al0.071Ti0.040Mo0.010W0.008Nb0.005Ta0.005C0.008B0.001Zr0.001Ni0.593
IN-792;22,54728571;1373;1,353094268;Co0.089Cr0.142Al0.069Ti0.051Mo0.012W0.012Ta0.013C0.010B0.001Zr0.001Hf0.002Fe0.021Ni0.576
IN-792;50,10881818;1423;1,69991416;Co0.089Cr0.142Al0.069Ti0.051Mo0.012W0.012Ta0.013C0.010B0.001Zr0.001Hf0.002Fe0.021Ni0.576
IN-939;32,584;1373;1,513004397;Co0.182Cr0.239Al0.042Ti0.043W0.006Nb0.006Ta0.005C0.007B0.001Zr0.001Ni0.469
IN-939;55,38;1423;1,743352951;Co0.182Cr0.239Al0.042Ti0.043W0.006Nb0.006Ta0.005C0.007B0.001Zr0.001Ni0.469
MAR-M-200;8,213;1373;0,914501823;Co0.101Cr0.103Al0.110Ti0.025W0.040Nb0.017C0.007B0.001Zr0.000Ni0.594
MAR-M-200;74,25175;1423;1,870706694;Co0.101Cr0.103Al0.110Ti0.025W0.040Nb0.017C0.007B0.001Zr0.000Ni0.594
MAR-M-200 + Hf;17,31166667;1373;1,238338881;Co0.100Cr0.102Al0.109Ti0.025W0.037Nb0.006C0.007B0.001Zr0.000Hf0.005Fe0.195Ni0.414
MAR-M-200 + Hf;64,413375;1423;1,808976055;Co0.100Cr0.102Al0.109Ti0.025W0.037Nb0.006C0.007B0.001Zr0.000Hf0.005Fe0.195Ni0.414
MAR-M-211;1,199;1373;0,078819183;Co0.097Cr0.099Al0.106Ti0.024Mo0.015W0.016Nb0.017C0.007B0.001Zr0.000Ni0.619
MAR-M-211;57,186;1423;1,75728972;Co0.097Cr0.099Al0.106Ti0.024Mo0.015W0.016Nb0.017C0.007B0.001Zr0.000Ni0.619
MAR-M-246;1,553;1373;0,191171456;Co0.103Cr0.116Al0.102Ti0.017Ta0.006C0.004B0.001Zr0.000Cu0.001Ni0.650
MAR-M-246;18,077;1423;1,257126358;Co0.103Cr0.116Al0.102Ti0.017Ta0.006C0.004B0.001Zr0.000Cu0.001Ni0.650
MAR-M-247;0,0525;1273;-1,279840697;Co0.100Cr0.093Al0.121Ti0.012Mo0.004W0.032Ta0.010C0.007B0.001Zr0.001Hf0.005Fe0.196Ni0.418
MAR-M-247;0,507;1373;-0,294992041;Co0.100Cr0.093Al0.121Ti0.012Mo0.004W0.032Ta0.010C0.007B0.001Zr0.001Hf0.005Fe0.196Ni0.418
MAR-M-247;4,98475;1423;0,697643382;Co0.100Cr0.093Al0.121Ti0.012Mo0.004W0.032Ta0.010C0.007B0.001Zr0.001Hf0.005Fe0.196Ni0.418
MAR-M-421;9,531;1373;0,97913847;Co0.090Cr0.170Al0.089Ti0.021Mo0.012W0.012Nb0.012C0.007B0.001Zr0.000Fe0.185Ni0.401
MAR-M-421;34,936;1423;1,543273179;Co0.090Cr0.170Al0.089Ti0.021Mo0.012W0.012Nb0.012C0.007B0.001Zr0.000Fe0.185Ni0.401
NASA-TRW-VIA;0,329333333;1373;-0,48236431;Co0.078Cr0.072Al0.122Ti0.013Mo0.013W0.019Nb0.003Ta0.030C0.007B0.001Zr0.001Hf0.001Re0.002Ni0.639
NASA-TRW-VIA;1,590153846;1423;0,201439144;Co0.078Cr0.072Al0.122Ti0.013Mo0.013W0.019Nb0.003Ta0.030C0.007B0.001Zr0.001Hf0.001Re0.002Ni0.639
Nimonic 115;0,4085;1273;-0,388807939;Co0.129Cr0.153Al0.099Ti0.046Mo0.020C0.007B0.001Zr0.000Ni0.546
Nimonic 115;1,64;1423;0,214843848;Co0.129Cr0.153Al0.099Ti0.046Mo0.020C0.007B0.001Zr0.000Ni0.546
NX-188;3,446;1373;0,537315273;Cr0.109Al0.168Mo0.106C0.002Ni0.616
NX-188;8,213666667;1423;0,914537074;Cr0.109Al0.168Mo0.106C0.002Ni0.616
René 41;33,14466667;1423;1,520413656;Co0.108Cr0.212Al0.032Ti0.037Mo0.060C0.004B0.001Ni0.545
René 80;37,401;1373;1,572883214;Co0.090Cr0.150Al0.062Ti0.058Mo0.023C0.008B0.001Zr0.000Ni0.609
René 80;60,767;1423;1,783667796;Co0.090Cr0.150Al0.062Ti0.058Mo0.023C0.008B0.001Zr0.000Ni0.609
René 120;6,854;1373;0,8359441;Co0.101Cr0.103Al0.094Ti0.050Mo0.012W0.023Ta0.012B0.001Zr0.000Ni0.604
René 120;14,9105;1423;1,173492207;Co0.101Cr0.103Al0.094Ti0.050Mo0.012W0.023Ta0.012B0.001Zr0.000Ni0.604
René 135;3,022666667;1373;0,480390257;Co0.101Cr0.103Al0.110Ti0.031Mo0.012W0.023Ta0.012C0.005B0.001Zr0.000Hf0.005Fe0.021Ni0.576
René 135;9,7835;1423;0,990494249;Co0.101Cr0.103Al0.110Ti0.031Mo0.012W0.023Ta0.012C0.005B0.001Zr0.000Hf0.005Fe0.021Ni0.576
R-150-SX;6,0015;1273;0,77825981;Co0.123Cr0.058Al0.123Mo0.006W0.016Ta0.020V0.026Re0.010Ni0.619
R-150-SX;45,01;1373;1,653309013;Co0.123Cr0.058Al0.123Mo0.006W0.016Ta0.020V0.026Re0.010Ni0.619
R-150-SX;314,856;1423;2,498111974;Co0.123Cr0.058Al0.123Mo0.006W0.016Ta0.020V0.026Re0.010Ni0.619
TAZ-8A;0,097;1273;-1,013228266;Cr0.069Al0.133Mo0.025W0.013Nb0.016Ta0.026C0.006B0.000Zr0.007Fe0.198Ni0.507
TAZ-8A;0,567363636;1373;-0,246138503;Cr0.069Al0.133Mo0.025W0.013Nb0.016Ta0.026C0.006B0.000Zr0.007Fe0.198Ni0.507
TAZ-8A;4,643909091;1423;0,666883709;Cr0.069Al0.133Mo0.025W0.013Nb0.016Ta0.026C0.006B0.000Zr0.007Fe0.198Ni0.507
TRW-R;0,056;1273;-1,251811973;Co0.081Cr0.092Al0.117Ti0.010Mo0.024W0.013Nb0.002Ta0.020C0.002B0.001Zr0.001Hf0.003Ni0.634
TRW-R;0,1065;1373;-0,972650392;Co0.081Cr0.092Al0.117Ti0.010Mo0.024W0.013Nb0.002Ta0.020C0.002B0.001Zr0.001Hf0.003Ni0.634
TRW-R;0,912;1423;-0,040005162;Co0.081Cr0.092Al0.117Ti0.010Mo0.024W0.013Nb0.002Ta0.020C0.002B0.001Zr0.001Hf0.003Ni0.634
TRW-1800;0,731;1373;-0,136082623;Co0.006Cr0.143Al0.127Ti0.007W0.028Nb0.009C0.004B0.004Zr0.000Ni0.672
TRW-1800;3,69;1423;0,567026366;Co0.006Cr0.143Al0.127Ti0.007W0.028Nb0.009C0.004B0.004Zr0.000Ni0.672
U-520;31,65;1373;1,500373714;Co0.116Cr0.209Al0.042Ti0.036Mo0.036W0.003C0.002B0.000Ni0.555
U-520;55,973;1423;1,747978585;Co0.116Cr0.209Al0.042Ti0.036Mo0.036W0.003C0.002B0.000Ni0.555
U-700;1,307;1273;0,116275588;Co0.173Cr0.159Al0.088Ti0.040Mo0.026C0.003B0.002Zr0.000Ni0.508
U-700;6,962544444;1373;0,84276798;Co0.173Cr0.159Al0.088Ti0.040Mo0.026C0.003B0.002Zr0.000Ni0.508
U-700;29,63491667;1423;1,47180371;Co0.173Cr0.159Al0.088Ti0.040Mo0.026C0.003B0.002Zr0.000Ni0.508
U-710;33,755;1373;1,528338112;Co0.152Cr0.194Al0.052Ti0.059Mo0.018W0.005C0.005B0.001Ni0.515
U-710;48,908;1423;1,689379904;Co0.152Cr0.194Al0.052Ti0.059Mo0.018W0.005C0.005B0.001Ni0.515
U-720;6,3885;1273;0,805398899;Co0.143Cr0.194Al0.052Ti0.059Mo0.018W0.004C0.002B0.002Zr0.000Ni0.528
U-720;32,335;1373;1,509672865;Co0.143Cr0.194Al0.052Ti0.059Mo0.018W0.004C0.002B0.002Zr0.000Ni0.528
U-720;41,575;1423;1,618832258;Co0.143Cr0.194Al0.052Ti0.059Mo0.018W0.004C0.002B0.002Zr0.000Ni0.528
Wasaloy;4,999;1273;0,698883137;Co0.130Cr0.213Al0.027Ti0.036Mo0.025C0.003B0.000Zr0.000Ni0.564
Wasaloy;9,62925;1373;0,983592462;Co0.130Cr0.213Al0.027Ti0.036Mo0.025C0.003B0.000Zr0.000Ni0.564
Wasaloy;28,8944;1423;1,460813681;Co0.130Cr0.213Al0.027Ti0.036Mo0.025C0.003B0.000Zr0.000Ni0.564
WAZ-20;21,146;1373;1,325228228;Al0.140Mo0.112C0.007Zr0.001Ni0.740
WAZ-20;89,21633333;1423;1,95044437;Al0.140Mo0.112C0.007Zr0.001Ni0.740
MAR-M-509;25,4285;1373;1,405320742;Co0.455Cr0.271Ti0.003W0.023Ta0.012C0.030Zr0.003Ni0.204
MAR-M-509;49,77466667;1423;1,69700836;Co0.455Cr0.271Ti0.003W0.023Ta0.012C0.030Zr0.003Ni0.204
W-152;47,037;1366;1,672439615;Co0.659Cr0.247W0.037Nb0.013C0.023Fe0.022
W-152;45,2885;1373;1,655987937;Co0.659Cr0.247W0.037Nb0.013C0.023Fe0.022
W-152;120,5738571;1423;2,081253154;Co0.659Cr0.247W0.037Nb0.013C0.023Fe0.022
X-40;35,57;1373;1,551083865;Co0.558Cr0.288W0.024C0.024Ni0.105
X-40;33,29242857;1423;1,522345477;Co0.558Cr0.288W0.024C0.024Ni0.105
oxidation 3;;1373;-2,110705707;Cr0.1598Al0.1754Ni0.6648
oxidation 3;;1373;-2,005227231;Cr0.115Al0.2558Ni0.6292
oxidation 3;;1373;-1,762148494;Cr0.1244Al0.2272Ni0.6484
oxidation 3;;1373;-1,964820459;Cr0.1319Al0.1207Ni0.7474
oxidation 3;;1373;-0,613367019;Cr0.1841Al0.1106Ni0.7053
oxidation 3;;1473;-1,18578497;Cr0.1598Al0.1754Ni0.6648
oxidation 3;;1473;-1,214606093;Cr0.115Al0.2558Ni0.6292
oxidation 3;;1473;-0,632105738;Cr0.1244Al0.2272Ni0.6484
oxidation 3;;1473;-1,373953779;Cr0.1319Al0.1207Ni0.7474
oxidation 3;;1473;1,226414704;Cr0.1841Al0.1106Ni0.7053
oxidation 3;;1373;-1,950481522;Cr0.1435Al0.2365Ni0.62
oxidation 3;;1373;-1,451222409;Cr0.1681Al0.2919Ni0.54
oxidation 3;;1373;-2,167092103;Cr0.1915Al0.2416Ni0.5669
oxidation 3;;1373;-2,137592949;Cr0.1919Al0.2424Ni0.5657
oxidation 3;;1373;-0,418304192;Cr0.1581Al0.0577Ni0.7842
oxidation 3;;1373;-2,356972943;Cr0.1887Al0.2699Ni0.5414
oxidation 3;;1373;-3,69848712;Cr0.2084Al0.1652Ni0.6264
oxidation 3;;1373;-1,959691937;Cr0.0973Al0.1718Ni0.7309
oxidation 3;;1473;-1,118181836;Cr0.1435Al0.2365Ni0.62
oxidation 3;;1473;-0,364869261;Cr0.1681Al0.2919Ni0.54
oxidation 3;;1473;-1,762148494;Cr0.1915Al0.2416Ni0.5669
oxidation 3;;1473;-2,806805809;Cr0.1919Al0.2424Ni0.5657
oxidation 3;;1473;0,595521022;Cr0.1581Al0.0577Ni0.7842
oxidation 3;;1473;-1,448226079;Cr0.1887Al0.2699Ni0.5414
oxidation 3;;1473;-3,239577517;Cr0.2084Al0.1652Ni0.6264
oxidation 3;;1473;-1,45322572;Cr0.0973Al0.1718Ni0.7309
oxidation 3;;1373;1,838386383;Cr0.1987Al0Ni0.8013
oxidation 3;;1373;-2,30980392;Cr0Al0.4178Ni0.5822
oxidation 3;;1373;-1,01952103;Cr0Al0.249Ni0.751
oxidation 3;;1373;-1,215661701;Cr0.0078Al0.245Ni0.7472
oxidation 3;;1373;-0,967722847;Cr0.029Al0.226Ni0.745
oxidation 3;;1373;0,256798537;Cr0.0998Al0.1573Ni0.7429
oxidation 3;;1473;-1,055950605;Cr0.387Al0Ni0.613
oxidation 3;;1473;-0,937042166;Cr0Al0.4178Ni0.5822
oxidation 3;;1473;-0,474642873;Cr0Al0.249Ni0.751
oxidation 3;;1473;-0,13912081;Cr0.0998Al0.1573Ni0.7429
oxidation 3;;1373;-2,567993313;Cr0.5Al0.505Ni-0.005
oxidation 3;;1373;-3,419930777;Cr0.011Al0.488Ni0.501
oxidation 3;;1373;-0,572515043;Cr0.026Al0.476Ni0.498
oxidation 3;;1373;-0,013083449;Cr0.103Al0.391Ni0.506
oxidation 3;;1373;1,005140991;Cr0.012Al0.089Ni0.899
oxidation 3;;1373;-1,012247778;Cr0.163Al0.1016Ni0.7354
oxidation 3;;1373;-0,983883729;Cr0.3741Al0.0974Ni0.5285
oxidation 3;;1473;-2,22701855;Cr0.0078Al0.245Ni0.7472
oxidation 3;;1473;-0,955111533;Cr0Al0.505Ni0.495
oxidation 3;;1473;-0,870667871;Cr0.011Al0.488Ni0.501
oxidation 3;;1473;0,050611731;Cr0.026Al0.476Ni0.498
oxidation 3;;1473;1,04332203;Cr0.103Al0.391Ni0.506
oxidation 3;;1473;2,034984893;Cr0.012Al0.089Ni0.899
oxidation 3;;1473;1,053970137;Cr0.163Al0.1016Ni0.7354
