;Sc;Ga;Zr;Ru;Rh;Cd;In;Te;Hf;Re;Ir;Pd;La;As;Bi;Co;Sm;Sb;V;Ce;Ag;Ge;Mo;Y;Ta;Pt;Au;Zn;Hg;Pb;Cu;W;Mn;Sn;Cr;Ni;Nb;Mg;Al;Si;Ti;Fe
Pd*;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
La*;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07101503690341923;0.0;0.0;0.0;0.00962641028372833;0.0;0.0;0.00019265458473091183;0.0;0.0;0.0;0.004819524094681426;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
As*;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Bi*;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Co*;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022949999999999998;0.0;0.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sm*;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015328603915546463;0.0;0.0;0.0;0.18798086889799875;0.0;0.0;0.0023881862873475564;0.0;0.0;0.0;0.02541887991837844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sb*;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V*;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ce*;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08132624532966934;0.0;0.0;0.0;0.08080760835508317;0.0;0.0;0.27158836116069296;0.0;0.0;0.0;0.03901425385710665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ag*;0.00021592792568456425;9.130415824573705e-05;0.0;0.0;0.0;0.009130415824573706;0.007488294171213846;0.0028412767585078414;0.0;0.0019020165568157477;0.0;0.0;2.01055600929405e-06;0.002451127997609787;0.0006904563988369227;0.0010796396284228212;2.7253998431630976e-07;0.04813591686744226;0.0;5.454377691524296e-09;0.298727294415229;0.005478249494744223;0.001418954940212851;1.3644889241805995e-07;3.0023946470796845e-05;0.0;0.0019551027886382777;0.009130415824573706;0.006270165054098763;0.0006107550238605168;0.003084684652636632;9.909092974350562e-06;0.0;0.00019818185948701128;0.0;0.0;2.282058059578081e-06;0.0;0.0;0.0;0.0;0.0
