Creep strength Temp ©;Creep strength Stress (Mpa);Creep strength 1 Time for 1% creep (hours);Creep strength 1 Rupture life (hours);Creep strength 1 Elongation / rupture strain (%);LMP;Normalized Composition;DeltaH_mix;1-mr
760;750.0;120.0;1048.5;;23.78024719;Al0.12396Co0.04662Cr0.09190Mo0.00373Ni0.67774Ta0.01914Ti0.01123W0.02567;0.040701;0
760;750.0;330.0;1189.0;8.9;23.83666286;Al0.13551Cr0.09222Mo0.01249Ni0.71382Ta0.01987W0.02608;0.21619;0
760;750.0;234.0;1190.0;14.9;23.83704001;Al0.13553Co0.05086Cr0.09224Mo0.01250Ni0.66290Ta0.01988W0.02609;0.17048;0
760;750.0;1.0;778.0;18.7;23.64638192;Al0.13555Co0.07630Cr0.09225Mo0.01250Ni0.63743Ta0.01988W0.02609;0.17663;0
760;840.0;9.0;124.4;18.6;22.82394945;Al0.11620Co0.06650Cr0.09045Mo0.01257Ni0.65541Ta0.02632Ti0.01386W0.01869;-0.036298;0
760;840.0;30.0;164.9;11.8;22.95038894;Al0.11620Co0.06650Cr0.09045Mo0.01257Ni0.65541Ta0.02632Ti0.01386W0.01869;-0.036298;0
760;840.0;14.9;83.2;15.9;22.6434874;Al0.11620Co0.06650Cr0.09045Mo0.01257Ni0.65541Ta0.02632Ti0.01386W0.01869;-0.036298;0
760;840.0;790.0;2029.0;12.3;24.07642235;Al0.13332Cr0.04771Hf0.00035Mo0.02586Ni0.71858Re0.00999Ru0.02455Si0.00221Ta0.02057W0.01687;0.086435;0.00221000000000005
760;840.0;0.89;42.0;33.0;22.33681652;Al0.13576Cr0.04697Hf0.00034Mo0.00636Ni0.73126Re0.01311Ru0.02416Si0.00217Ta0.01687Ti0.00638W0.01660;-0.0007656;0.00217000000000001
760;840.0;1.25;143.0;26.9;22.88646213;Al0.13576Cr0.04697Hf0.00034Mo0.00636Ni0.73126Re0.01311Ru0.02416Si0.00217Ta0.01687Ti0.00638W0.01660;-0.0007656;0.00217000000000001
760;840.0;1.74;250.0;21.2;23.13707203;Al0.13576Cr0.04697Hf0.00034Mo0.00636Ni0.73126Re0.01311Ru0.02416Si0.00217Ta0.01687Ti0.00638W0.01660;-0.0007656;0.00217000000000001
760;840.0;1.3;202.0;23.5;23.04142796;Al0.13484Co0.01869Cr0.02421Mo0.00262Nb0.00054Ni0.74695Re0.02197Ta0.02852Ti0.00316W0.01849;0.023441;0
760;840.0;0.56;70.0;20.2;22.56598628;Al0.13794B0.00023C0.00258Co0.13157Cr0.05368Hf0.00052Mo0.00711Ni0.60343Re0.01782Ta0.02571W0.01940;0.16396;0.00280999999999998
925;207.0;289.0;1039.0;;27.57390543;Al0.12800B0.00016C0.00025Cr0.10466Mo0.00563Ni0.69713Ta0.00912Ti0.02046W0.03460;0.14608;0.000410000000000021
850;500.0;;356.0;;25.32527835;Al0.11260Co0.05150Cr0.11680Ni0.64660Ta0.04030Ti0.01900W0.01320;-0.163;0
850;500.0;;497.0;;25.48800822;Al0.11260Co0.05150Cr0.11680Ni0.64670Re0.01310Ta0.04030Ti0.01900;-0.21898;0
850;500.0;;382.0;;25.35965716;Al0.12210Co0.05080Cr0.09220Mo0.00310Ni0.67330Ta0.01990Ti0.01250W0.02610;0.024549;0
850;500.0;;498.0;;25.48898855;Al0.12210Co0.05080Cr0.09220Mo0.00310Ni0.67350Re0.01290Ta0.01990Ti0.01250W0.01300;-0.037298;0
816;276.0;;1604.0;7.1;25.27046755;Al0.12022B0.00046C0.00275Cr0.13027Fe0.00197Mo0.02556Nb0.01260Ni0.69693Si0.00098Ti0.00827;0.18479;0.00419000000000003
816;276.0;;2505.0;3.6;25.48130162;Al0.12022B0.00046C0.00275Cr0.13027Fe0.00197Mo0.02556Nb0.01260Ni0.69693Si0.00098Ti0.00827;0.18479;0.00419000000000003
816;276.0;;1862.7;16.0;25.34118563;Al0.12026B0.00046C0.00137Cr0.13243Fe0.00148Mo0.02528Nb0.01243Ni0.69744Si0.00196Ti0.00689;0.17994;0.00378999999999996
816;276.0;;3648.6;12.0;25.65915549;Al0.12026B0.00046C0.00137Cr0.13243Fe0.00148Mo0.02528Nb0.01243Ni0.69744Si0.00196Ti0.00689;0.17994;0.00378999999999996
816;276.0;;2182.7;8.0;25.41616452;Al0.12420B0.00045C0.00500Cr0.13888Fe0.00098Mo0.02537Nb0.01228Ni0.68305Si0.00078Ti0.00901;0.23737;0.00622999999999996
816;276.0;;1554.0;3.6;25.25549015;Al0.12420B0.00045C0.00500Cr0.13888Fe0.00098Mo0.02537Nb0.01228Ni0.68305Si0.00078Ti0.00901;0.23737;0.00622999999999996
816;330.0;;500.0;;24.71917833;Al0.03948B0.00050C0.00704Co0.18082Cr0.24271Nb0.00605Ni0.46895Ta0.00436Ti0.04334W0.00615Zr0.00060;-0.37839;0.00753999999999999
870;300.0;;40.0;;24.69115457;Al0.03982B0.00052C0.00706Co0.18231Cr0.24361Nb0.00609Ni0.46573Ta0.00438Ti0.04371W0.00615Zr0.00062;-0.38153;0.00758000000000003
870;300.0;;45.0;;24.7496219;Al0.03982B0.00052C0.00706Co0.18231Cr0.24361Nb0.00609Ni0.46573Ta0.00438Ti0.04371W0.00615Zr0.00062;-0.38153;0.00758000000000003
870;300.0;;55.0;;24.84923455;Al0.03982B0.00052C0.00706Co0.18231Cr0.24361Nb0.00609Ni0.46573Ta0.00438Ti0.04371W0.00615Zr0.00062;-0.38153;0.00758000000000003
870;300.0;;170.0;;25.40940312;Al0.03982B0.00052C0.00706Co0.18231Cr0.24361Nb0.00609Ni0.46573Ta0.00438Ti0.04371W0.00615Zr0.00062;-0.38153;0.00758000000000003
1050;150.0;139.0;217.0;7.6;29.55113623;Al0.11620Co0.06650Cr0.09045Mo0.01257Ni0.65541Ta0.02632Ti0.01386W0.01869;-0.036298;0
1050;150.0;435.0;598.0;7.7;30.13357567;Al0.11219Co0.05136Cr0.09315Mo0.01262Ni0.66530Ta0.02007Ti0.01897W0.02634;-0.028203;0
1050;150.0;201.0;486.0;41.0;30.01441978;Al0.13562Cr0.04692Hf0.00034Mo0.00636Ni0.73154Re0.01310Ru0.02414Si0.00217Ta0.01685Ti0.00637W0.01659;-0.00060466;0.00217000000000001
1050;160.0;50.0;165.0;24.0;29.39373126;Al0.12865Co0.09610Cr0.07261Hf0.00034Mo0.00381Ni0.63187Re0.00916Ta0.02288Ti0.01272W0.02186;-0.027783;0
750;800.0;3.5;145.0;17.5;22.67107947;Al0.12000C0.00074Co0.05000Cr0.09620Ni0.66656Ta0.00910Ti0.02700W0.03040;-0.015662;0.000739999999999963
750;800.0;1.8;137.0;19.7;22.64586514;Al0.12000C0.00074Co0.05000Cr0.09620Ni0.66656Ta0.00910Ti0.02700W0.03040;-0.015662;0.000739999999999963
750;800.0;1.5;105.0;17.5;22.52767665;Al0.12000C0.00074Co0.05000Cr0.09620Ni0.66656Ta0.00910Ti0.02700W0.03040;-0.015662;0.000739999999999963
750;800.0;;313.0;9.6;23.01294186;Al0.12000C0.00074Co0.05000Cr0.09620Ni0.66656Ta0.00910Ti0.02700W0.03040;-0.015662;0.000739999999999963
750;750.0;11.0;;;#NOMBRE!;Al0.12320Co0.11490Cr0.07103Hf0.00041Ni0.61335Re0.01587Ta0.02313Ti0.01800W0.02009;-0.091949;0
750;750.0;;;;#NOMBRE!;Al0.12485Co0.11644Cr0.07198Hf0.00042Ni0.58967Re0.01608Ru0.01852Ta0.02344Ti0.01825W0.02036;-0.24272;0
760;800.0;15.0;426.0;10.3;23.37618012;Al0.13239Co0.08082Cr0.06870Ni0.67455Re0.01439W0.02915;0.31868;0
760;800.0;11.0;121.1;12.0;22.8118879;Al0.12838Co0.07837Cr0.06662Ni0.69837W0.02826;0.27594;0
760;810.0;14.5;241.0;10.5;23.1206236;Al0.14102Co0.09716Cr0.04902Mo0.01361Ni0.63684Re0.00704Ta0.02446W0.03084;0.14785;0
950;290.0;;;;#NOMBRE!;Al0.13872Co0.02495Cr0.07984Ni0.66866Re0.01497Ru0.03493Ta0.02794W0.00998;-0.042035;0
950;290.0;;;;#NOMBRE!;Al0.13800Co0.10500Cr0.08000Ni0.59000Re0.01500Ru0.03500Ta0.02700W0.01000;-0.033989;0
950;290.0;;;;#NOMBRE!;Al0.13700Co0.02500Cr0.08000Ni0.65500Re0.02500Ru0.03500Ta0.02800W0.01500;-0.023853;0
950;290.0;;;;#NOMBRE!;Al0.13700Co0.10500Cr0.08000Ni0.57500Re0.02500Ru0.03500Ta0.02800W0.01500;-0.021861;0
1010;235.0;;21.0;19.0;27.35640736;Al0.12312Co0.08208Cr0.11411Mo0.02503Ni0.61361Ta0.01602W0.02603;0.21711;0
760;810.0;;243.0;10.0;23.12433128;Al0.13807Co0.09482Cr0.04777Mo0.01294Ni0.64531Re0.00667Ta0.02402W0.03040;0.14386;0
