Element;Score;Mean;Std;Median;Prop_Positive;Delta;General Mean;Relative Delta;Relative std
Ag;Density;10.044637;2.0321155;9.636173;0.3925;-0.20830727;10.25294427;0.020316824564189304;0.19819823910932075
Al;Density;8.253091;1.9628522;7.8022995;0.166;-1.9998531;10.252944099999999;0.1950515949852882;0.19144278763794295
As;Density;9.7873;2.0100605;9.411081;0.3403;-0.46564388;10.25294388;0.04541562749683167;0.1960471571409791
Au;Density;12.701383;1.8688442;12.360798;0.9365;2.4484386;10.2529444;-0.23880346020407558;0.1822739036798054
Bi;Density;10.539738;1.9442422;10.136887;0.4748;0.2867937;10.2529443;-0.027971838294293668;0.189627695529371
Cd;Density;9.888696;2.00141;9.493504;0.3572;-0.36424828;10.25294428;0.0355262127690018;0.19520344062573994
Co;Density;10.022621;2.0508213;9.601936;0.3784;-0.23032284;10.252943839999999;0.02246406920726877;0.2000226795351295
Cr;Density;9.366707;1.9984947;8.949352;0.2789;-0.88623714;10.25294414;0.08643733233096498;0.19491910545023217
Cu;Density;10.012064;2.0456936;9.60158;0.3721;-0.24088001;10.25294401;0.023493740896767073;0.19952255644864286
Fe;Density;9.833905;2.049643;9.435502;0.3467;-0.41903877;10.25294377;0.040870093448293635;0.19990775780876052
Ga;Density;9.445483;1.9833587;9.041216;0.2881;-0.8074608;10.252943799999999;0.07875404525283754;0.19344285296872496
Ge;Density;9.823064;2.0112493;9.439833;0.3532;-0.42988014;10.25294414;0.0419274828898073;0.19616309935343115
Hf;Density;11.133627;1.8885295;10.738686;0.629;0.88068295;10.25294405;-0.08589561648880742;0.18419387551422364
Hg;Density;11.089521;1.9338638;10.652283;0.6015;0.8365774;10.2529436;-0.08159387514820622;0.1886154723410358
In;Density;9.65295;1.9807807;9.257232;0.3173;-0.5999937;10.252943700000001;0.05851916459855328;0.1931914148714188
Ir;Density;13.534816;1.7237672;13.267408;0.989;3.2818718;10.2529442;-0.3200906721017754;0.16812411794848156
Mg;Density;8.168092;1.8762051;7.770402;0.1495;-2.0848522;10.2529442;0.20334180693190546;0.1829918376030955
Mn;Density;9.558814;1.9728702;9.115717;0.3019;-0.69412994;10.25294394;0.06770054962379907;0.1924198758468975
Mo;Density;10.064209;1.9370655;9.707577;0.3903;-0.18873501;10.25294401;0.018407884585726904;0.18892773608348223
Nb;Density;9.7440605;1.9288561;9.379168;0.3365;-0.5088835;10.252944;0.049632915190017626;0.18812704916753667
Ni;Density;10.027878;2.0480917;9.629244;0.3829;-0.22506618;10.25294418;0.021951370850045924;0.19975644693307987
Pb;Density;10.03567;2.0404446;9.619422;0.3813;-0.21727371;10.25294371;0.021191349152544992;0.1990106117533732
Pd;Density;10.531674;1.96877;10.155241;0.4782;0.2787304;10.2529436;-0.027185402638906547;0.19201997756039543
Pt;Density;13.205075;1.7475646;12.918701;0.9786;2.9521313;10.252943700000001;-0.287930119034985;0.17044515713082475
Re;Density;13.410496;1.6456805;13.148808;0.9926;3.1575518;10.2529442;-0.30796537447263195;0.16050809093450447
Rh;Density;10.689316;1.9342347;10.299509;0.51;0.4363718;10.2529442;-0.04256063346175238;0.1886516362782897
Ru;Density;10.8754425;1.9391011;10.48138;0.5572;0.6224985;10.252944;-0.06071412269490597;0.18912627436568463
Sb;Density;9.487043;1.9382764;9.10907;0.2945;-0.7659006;10.2529436;0.07470055721363765;0.1890458463070059
Sc;Density;8.0095;1.8658997;7.6139865;0.1344;-2.2434444;10.252944399999999;0.21880976941609087;0.181986717883694
Si;Density;8.850848;1.96658;8.409606;0.2175;-1.4020958;10.252943799999999;0.1367505593856859;0.19180637662326797
Sn;Density;9.505617;1.9443755;9.131666;0.2988;-0.74732685;10.252943850000001;0.07288900250828935;0.1896407049961558
Ta;Density;12.389887;1.7499423;12.084614;0.9193;2.1369429;10.2529441;-0.20842236914175705;0.17067705460327243
Te;Density;9.617242;1.9120214;9.2611065;0.3149;-0.63570213;10.25294413;0.06200191105498592;0.18648510864361845
Ti;Density;8.800521;1.8965437;8.393462;0.2084;-1.4524231;10.2529441;0.1416591259870421;0.18497552327433445
V;Density;9.392204;1.9591602;8.944467;0.2739;-0.8607397;10.2529437;0.08395049511488101;0.19108270339961
W;Density;13.184355;1.6888508;12.900017;0.9812;2.9314108;10.2529442;-0.28590917328897586;0.16471861809215738
Y;Density;9.616098;1.9992179;9.211594;0.3119;-0.6368456;10.252943599999998;0.06211344028070145;0.19498965155723674
Zn;Density;9.569428;2.0177283;9.176079;0.307;-0.68351555;10.25294355;0.06666529925447605;0.19679502673161603
Zr;Density;8.958192;1.8536239;8.603539;0.2247;-1.2947521;10.2529441;0.12628100644769924;0.1807894280824178
Ag;LMP;31.40075;0.32184306;31.426594;0.4369;-0.078653336;31.479403335999997;-0.002498565019180388;0.010223925039644532
Al;LMP;31.264091;0.36202368;31.239271;0.2729;-0.21531105;31.47940205;-0.0068397439588596;0.011500335343885606
As;LMP;31.356037;0.17551637;31.365416;0.2371;-0.1233654;31.4794024;-0.003918924458362653;0.005575594090693412
Au;LMP;31.627512;0.35202503;31.628922;0.6409;0.14810944;31.47940256;0.004704963498519459;0.011182710006298164
Bi;LMP;31.418018;0.3290397;31.451607;0.4734;-0.0613842;31.4794022;-0.0019499798506338853;0.010452539660997755
Cd;LMP;31.453363;0.3066366;31.476631;0.4966;-0.026039124;31.479402124;-0.0008271797506645683;0.009740864797626484
Co;LMP;31.547821;0.35375777;31.553104;0.5673;0.0684185;31.4794025;0.0021734370593596876;0.011237753639066053
