cluster,feature
28,stoich_entropy
23,avg_radius
13,std_radius
15,max_r_ratio
14,min_r_ratio
13,delta
26,avg_eneg
33,std_eneg
34,range_eneg
8,avg_weight
3,std_weight
29,unique_elements
8,avg_Z
3,std_Z
9,avg_VEC
5,std_VEC
8,avg_d
4,std_d
27,frac_d
7,avg_s
7,avg_p
10,avg_f
2,std_s
1,std_p
6,std_f
16,avg_d_shell_n
31,std_d_shell_n
21,avg_group
18,std_group
7,avg_period
1,std_period
22,avg_mendeleev_no
19,std_mendeleev_no
24,avg_en_allen
25,std_en_allen
17,avg_IE1
32,std_IE1
12,avg_EA
36,std_EA
20,avg_melting_point
30,std_melting_point
35,DeltaH_mix
11,d_virt
