feature,mean_spearman,mean_mi,mean_xgb,mean_rfe_rank,sel_spearman,sel_mi,sel_xgb,sel_rfe,stability_S
stoich_entropy,0.4018421460687168,0.7071059345303512,0.03379668615758419,1.0,1,1,0,1,0.75
avg_radius,0.010110285450142356,0.7251123888046496,0.026735965721309186,1.0,0,1,0,1,0.5
std_radius,0.22914653599145318,0.7669316818133525,0.007999742534011603,1.22,0,1,0,0,0.25
max_r_ratio,0.18050778462411707,0.801139646307368,0.0074978091614320876,1.4,0,1,0,0,0.25
min_r_ratio,0.2141087391570126,0.7865924125805575,0.009716744031757117,1.14,0,1,0,0,0.25
avg_eneg,0.13492723622652353,0.7655451267899969,0.010133558493107557,1.06,0,1,0,1,0.5
std_eneg,0.47748542627952845,0.8959401036912544,0.05003614380955696,1.0,1,1,0,1,0.75
range_eneg,0.4037913719197636,0.7256717680024355,0.017379483385011555,1.0,1,1,0,1,0.75
avg_weight,0.20472377630291264,0.7705544724696236,0.0067816003784537315,1.84,0,1,0,0,0.25
std_weight,0.11410398341091986,0.7742723154878141,0.005094193452969194,2.66,0,1,0,0,0.25
unique_elements,0.2290242745835336,0.2539803411171455,0.02239192623645067,1.0,0,0,0,1,0.25
avg_VEC,0.17008261083503132,0.7098637551606337,0.007423922512680292,1.6,0,1,0,0,0.25
std_VEC,0.26464600896060253,0.753363004810036,0.015061133038252593,1.0,0,1,0,1,0.5
std_d,0.11194257512664069,0.7369482368409911,0.010939082065597176,1.04,0,1,0,1,0.5
frac_d,0.10699336092942652,0.7207010273336916,0.00726345187984407,1.44,0,1,0,0,0.25
avg_s,0.14904632922316133,0.6742237733168953,0.01036430474370718,1.28,0,1,0,0,0.25
avg_f,0.20271242759811225,0.5534089370268159,0.012522193086333573,1.3,0,0,0,0,0.0
std_s,0.032215244351538906,0.6987249097296752,0.007456126366741955,1.5,0,1,0,0,0.25
std_p,0.01045216089765743,0.7352204889335116,0.01227394693531096,1.2,0,1,0,0,0.25
std_f,0.20711218046663327,0.5277265469046308,0.007194279059767723,1.7,0,0,0,0,0.0
avg_d_shell_n,0.01019891739148216,0.6623541682480123,0.014670674093067645,1.04,0,1,0,1,0.5
std_d_shell_n,0.3493954584674162,0.7066932946665893,0.04619308691471815,1.0,1,1,0,1,0.75
avg_group,0.05440315544124138,0.7952014066441495,0.04359697442501784,1.0,0,1,0,1,0.5
std_group,0.22150255445620395,0.9100389207959918,0.056353555396199226,1.0,0,1,1,1,0.75
avg_mendeleev_no,0.030658300017216488,0.7377435658235774,0.012413103356957436,1.0,0,1,0,1,0.5
std_mendeleev_no,0.22488014104594217,0.8038050579810981,0.016348545905202627,1.0,0,1,0,1,0.5
avg_en_allen,0.11306157486044892,0.8479818553922879,0.018698950354009865,1.0,0,1,0,1,0.5
std_en_allen,0.21124364342889101,0.8657162056990431,0.017864425610750915,1.0,0,1,0,1,0.5
avg_IE1,0.05106427533631179,0.7860085876186181,0.031236571110785007,1.0,0,1,0,1,0.5
std_IE1,0.29278151509805467,0.8333358793945597,0.0188552151247859,1.0,1,1,0,1,0.75
avg_EA,0.27459968724023626,0.7850681392149326,0.049717065691947934,1.0,1,1,0,1,0.75
std_EA,0.3248460104826551,0.8209276969608791,0.02095864586532116,1.0,1,1,0,1,0.75
avg_melting_point,0.05095447828989168,0.7633744374793184,0.030588038340210913,1.0,0,1,0,1,0.5
std_melting_point,0.24937211457209796,0.7870422061247875,0.04832934260368347,1.0,0,1,0,1,0.5
DeltaH_mix,0.620129156250583,0.9933208886457172,0.2641684624552727,1.0,1,1,1,1,1.0
d_virt,0.27174896424362643,0.7948790804604734,0.02194503976032138,1.0,0,1,0,1,0.5
