cluster,feature
1,stoich_entropy
15,avg_radius
26,std_radius
27,max_r_ratio
18,min_r_ratio
26,delta
19,avg_eneg
30,std_eneg
28,range_eneg
20,avg_weight
10,std_weight
2,unique_elements
20,avg_Z
10,std_Z
22,avg_VEC
35,std_VEC
21,avg_d
11,std_d
25,frac_d
20,avg_s
20,avg_p
23,avg_f
9,std_s
9,std_p
12,std_f
4,avg_d_shell_n
29,std_d_shell_n
16,avg_group
6,std_group
20,avg_period
9,std_period
17,avg_mendeleev_no
7,std_mendeleev_no
13,avg_en_allen
14,std_en_allen
5,avg_IE1
32,std_IE1
31,avg_EA
34,std_EA
8,avg_melting_point
3,std_melting_point
33,DeltaH_mix
24,d_virt
