feature,mean_spearman,mean_mi,mean_xgb,mean_rfe_rank,sel_spearman,sel_mi,sel_xgb,sel_rfe,stability_S
stoich_entropy,0.039599521792296394,0.4440489395811314,0.01618928727693856,1.36,0,0,0,0,0.0
avg_radius,0.19933339096867556,0.6016400964599772,0.01588666558265686,1.16,1,1,0,0,0.5
std_radius,0.07512267570153192,0.6694123496724971,0.048240761272609234,1.0,1,1,1,1,1.0
max_r_ratio,0.21343146244772274,0.6549754526392291,0.02355123795568943,1.0,1,1,0,1,0.75
min_r_ratio,0.11724410360550235,0.6367179086122772,0.011652055950835348,1.82,1,1,0,0,0.5
avg_eneg,0.23401566075168873,0.6701956157651656,0.02896323746070266,1.0,1,1,1,1,1.0
std_eneg,0.03341906466263774,0.6587280576356828,0.036225971933454275,1.0,0,1,1,1,0.75
range_eneg,0.03391527235936183,0.1685797589677861,0.021686560045927762,1.0,0,0,0,1,0.25
avg_weight,0.07038087686112854,0.6726237111852333,0.04168026013299823,1.0,0,1,1,1,0.75
std_weight,0.264939996813586,0.7029645801343313,0.055594604611396786,1.0,1,1,1,1,1.0
unique_elements,0.05701916854700321,0.02157978658805524,0.025253635924309493,1.0,0,0,0,1,0.25
avg_VEC,0.02993136407571164,0.5660864406555025,0.01202814470976591,1.58,0,1,0,0,0.25
std_VEC,0.14557321300498968,0.6529583979048387,0.019539785105735064,1.18,1,1,0,0,0.5
avg_d,0.03703066631591763,0.6550719639918651,0.04213743217289448,1.0,0,1,1,1,0.75
std_d,0.2354787444682142,0.728448371835617,0.021516991211101413,1.42,1,1,0,0,0.5
frac_d,0.01805379103412592,0.6590740224777233,0.06358842670917511,1.0,0,1,1,1,0.75
avg_f,0.04337822547690184,0.5116462044275333,0.012271252842620015,1.42,0,0,0,0,0.0
std_s,0.22126019972775443,0.61505838382087,0.028550739921629428,1.0,1,1,0,1,0.75
std_f,0.21933363598240915,0.561837174578529,0.056477610170841214,1.0,1,1,1,1,1.0
avg_d_shell_n,0.14193888452628353,0.4716670353989974,0.07811366200447083,1.0,1,0,1,1,0.75
std_d_shell_n,0.06224530725288712,0.5216692536456171,0.05932139374315739,1.0,0,0,1,1,0.5
avg_group,0.19827417209693368,0.6153085177433626,0.049276809468865396,1.0,1,1,1,1,1.0
std_group,0.09426385064065719,0.6885583571454351,0.025996953286230563,1.02,1,1,0,1,0.75
avg_mendeleev_no,0.16384055202590977,0.6337680068801538,0.01417709494009614,1.02,1,1,0,1,0.75
std_mendeleev_no,0.03855075169374027,0.6589590971023486,0.015045204125344753,1.44,0,1,0,0,0.25
avg_en_allen,0.21592928151611154,0.7565137980001291,0.01415524578653276,1.62,1,1,0,0,0.5
std_en_allen,0.18232417715221214,0.7507026093149725,0.009688755245879293,1.92,1,1,0,0,0.5
avg_IE1,0.15004786969028605,0.6703238868535973,0.012388405837118626,1.48,1,1,0,0,0.5
std_IE1,0.07422460284934783,0.6650151440326484,0.01847202770411968,1.0,0,1,0,1,0.5
avg_EA,0.03535999250642897,0.6502135345318734,0.01711692152544856,1.08,0,1,0,0,0.25
std_EA,0.056961418563597606,0.6574422206622097,0.02224526261910796,1.0,0,1,0,1,0.5
avg_melting_point,0.010532721409097225,0.6630683228718764,0.013526306264102459,1.12,0,1,0,0,0.25
std_melting_point,0.15409773026661638,0.6914347671400258,0.01634674906730652,1.0,1,1,0,1,0.75
DeltaH_mix,0.08442649897622732,0.6174783622532266,0.021711285691708326,1.08,1,1,0,0,0.5
d_virt,0.13041736744471877,0.6691879773228101,0.0313832576200366,1.0,1,1,1,1,1.0
