cluster,feature
32,stoich_entropy
7,avg_radius
18,std_radius
19,max_r_ratio
20,min_r_ratio
18,delta
6,avg_eneg
23,std_eneg
26,range_eneg
10,avg_weight
28,std_weight
33,unique_elements
10,avg_Z
28,std_Z
11,avg_VEC
31,std_VEC
10,avg_d
29,std_d
14,frac_d
9,avg_s
9,avg_p
12,avg_f
27,std_s
27,std_p
30,std_f
16,avg_d_shell_n
34,std_d_shell_n
3,avg_group
21,std_group
9,avg_period
27,std_period
4,avg_mendeleev_no
22,std_mendeleev_no
5,avg_en_allen
24,std_en_allen
8,avg_IE1
25,std_IE1
1,avg_EA
2,std_EA
17,avg_melting_point
35,std_melting_point
15,DeltaH_mix
13,d_virt
