feature,mean_spearman,mean_mi,mean_xgb,mean_rfe_rank,sel_spearman,sel_mi,sel_xgb,sel_rfe,stability_S
stoich_entropy,0.013328846662415475,0.5353305852957548,0.011485675284639,1.02,0,0,0,1,0.25
avg_radius,0.42279362387229547,0.7773478708599558,0.03130540575832128,1.0,1,1,0,1,0.75
std_radius,0.0220069026703686,0.7349801999401241,0.007405731435865164,1.54,0,1,0,0,0.25
max_r_ratio,0.06727805510315998,0.7389105572298618,0.01461278734728694,1.0,0,1,0,1,0.5
min_r_ratio,0.06155302915797127,0.7225970494883959,0.01555685868486762,1.0,0,1,0,1,0.5
avg_eneg,0.2885187023820697,0.7287445283082434,0.016849944330751897,1.0,1,1,0,1,0.75
std_eneg,0.1288776419803515,0.7179647659562935,0.006753841517493129,1.96,0,1,0,0,0.25
range_eneg,0.07538082382190497,0.6691578599641497,0.026876324862241743,1.0,0,1,0,1,0.5
avg_weight,0.02217270452869166,0.7591162592803374,0.007370534632354975,1.7,0,1,0,0,0.25
std_weight,0.11314944463150671,0.7270227301661977,0.006126577914692462,2.38,0,1,0,0,0.25
unique_elements,0.052215988349951205,0.10608043730780903,0.018264891318976878,1.0,0,0,0,1,0.25
avg_VEC,0.0745055243722664,0.6598148696802335,0.01744050730019808,1.0,0,1,0,1,0.5
std_VEC,0.05446697104843473,0.7247750972777238,0.011548917759209871,1.04,0,1,0,1,0.5
std_d,0.05898446716565741,0.7408956274284135,0.007273676740005612,1.68,0,1,0,0,0.25
frac_d,0.0677736476629763,0.6855150299852423,0.0077087888959795235,1.28,0,1,0,0,0.25
avg_s,0.019529698938833953,0.6614915268712699,0.019632587861269712,1.0,0,1,0,1,0.5
avg_f,0.17326328285954345,0.5258083940804176,0.014691307852044701,1.22,0,0,0,0,0.0
std_s,0.10237590623750666,0.6947665817893247,0.015329911224544048,1.0,0,1,0,1,0.5
std_f,0.14912745993089843,0.5082579367538247,0.008759939260780811,1.5,0,0,0,0,0.0
avg_d_shell_n,0.18839899592664117,0.6017539503551271,0.04593660145998001,1.0,0,0,1,1,0.5
std_d_shell_n,0.08767065966586986,0.6039721672201602,0.018920337427407504,1.0,0,0,0,1,0.25
avg_group,0.08227801881770538,0.7148308298426939,0.02722613073885441,1.0,0,1,0,1,0.5
std_group,0.19184140903999736,0.8542806442015178,0.029614118710160255,1.0,1,1,0,1,0.75
avg_mendeleev_no,0.00863438183316433,0.6815777980891906,0.012198999933898448,1.04,0,1,0,1,0.5
std_mendeleev_no,0.2532751993759186,0.7568853631811813,0.020257442891597748,1.0,1,1,0,1,0.75
avg_en_allen,0.0860037471525572,0.8128717426156805,0.02675760842859745,1.0,0,1,0,1,0.5
std_en_allen,0.1595141061015528,0.8189476915920219,0.028495693430304527,1.0,0,1,0,1,0.5
avg_IE1,0.11427480426851007,0.7647120070133753,0.017925974372774364,1.0,0,1,0,1,0.5
std_IE1,0.2261035568896912,0.7559048865041048,0.01003806314431131,1.06,1,1,0,1,0.75
avg_EA,0.050455894646942674,0.741496505978565,0.012064903005957604,1.06,0,1,0,1,0.5
std_EA,0.04086512867544321,0.742153779397606,0.007665222808718682,1.32,0,1,0,0,0.25
avg_melting_point,0.6852212271572544,1.0726554574881693,0.39889982402324675,1.0,1,1,1,1,1.0
std_melting_point,0.18099134899839128,0.7515159575769327,0.03375810649245978,1.0,0,1,0,1,0.5
DeltaH_mix,0.03207773622653473,0.7358815181890656,0.010672929491847753,1.0,0,1,0,1,0.5
d_virt,0.37005168713289777,0.8001858393522124,0.034573843367397786,1.0,1,1,0,1,0.75
