cluster,feature
1,stoich_entropy
6,avg_radius
3,std_radius
5,max_r_ratio
4,min_r_ratio
3,delta
9,avg_eneg
24,std_eneg
26,range_eneg
19,avg_weight
31,std_weight
1,unique_elements
19,avg_Z
31,std_Z
20,avg_VEC
33,std_VEC
19,avg_d
32,std_d
17,frac_d
18,avg_s
18,avg_p
21,avg_f
30,std_s
29,std_p
34,std_f
12,avg_d_shell_n
27,std_d_shell_n
15,avg_group
10,std_group
18,avg_period
29,std_period
16,avg_mendeleev_no
11,std_mendeleev_no
7,avg_en_allen
8,std_en_allen
14,avg_IE1
28,std_IE1
23,avg_EA
35,std_EA
13,avg_melting_point
2,std_melting_point
25,DeltaH_mix
22,d_virt
