feature,mean_spearman,mean_mi,mean_xgb,mean_rfe_rank,sel_spearman,sel_mi,sel_xgb,sel_rfe,stability_S
stoich_entropy,0.09437882481153535,0.3271495818747438,0.007459834378678352,5.4,0,0,0,0,0.0
avg_radius,0.7437292499653975,0.9799763205528564,0.309183449447155,1.0,1,1,1,1,1.0
std_radius,0.392896215025985,0.70514844656067,0.005232588027138263,9.82,1,1,0,0,0.5
max_r_ratio,0.22886829044468546,0.7095614667075593,0.006201990768313408,8.2,0,1,0,0,0.25
min_r_ratio,0.35058868974164803,0.7559308406853349,0.006882677185349167,6.42,1,1,0,0,0.5
avg_eneg,0.5040663014583361,0.8376733831382397,0.018225011676549913,1.06,1,1,0,1,0.75
std_eneg,0.3648068233097815,0.7321022697264388,0.021694982377812266,1.24,1,1,0,1,0.75
range_eneg,0.1948202390832045,0.6851925926613447,0.009448465562891216,5.44,0,1,0,0,0.25
avg_weight,0.2687357842610966,0.7566091132986342,0.010698513882234693,5.4,1,1,0,0,0.5
std_weight,0.11508086109579,0.6957589262279371,0.009348637168295681,5.34,0,1,0,0,0.25
avg_VEC,0.16425024687440673,0.674949390180331,0.023920843992382288,1.5,0,1,0,1,0.5
std_VEC,0.2475762486234521,0.700606058144592,0.015229557994753123,2.96,0,1,0,0,0.25
std_d,0.08580829945172151,0.7675704820120918,0.007981825564056634,6.3,0,1,0,0,0.25
frac_d,0.2548328535178298,0.6894967834353766,0.011659037405624986,3.66,0,1,0,0,0.25
avg_s,0.24383659084615783,0.5731432173221193,0.016314073954708873,3.8,0,0,0,0,0.0
avg_f,0.18404987207716988,0.49633786825039794,0.0178543114697095,8.38,0,0,0,0,0.0
std_s,0.12817848122745232,0.5853978457795553,0.006996869430877268,8.06,0,0,0,0,0.0
std_p,0.0914206906673924,0.5969081953372799,0.0062032471504062416,8.12,0,0,0,0,0.0
std_f,0.07804330668359553,0.44612107529845757,0.004683401663787663,10.72,0,0,0,0,0.0
avg_d_shell_n,0.3722929173599542,0.6058485991930967,0.013892792102415114,4.3,1,0,0,0,0.25
std_d_shell_n,0.1839324200474328,0.6207044328077124,0.010786847358103842,6.48,0,0,0,0,0.0
avg_group,0.05910052081805081,0.6902243191619302,0.02275256600230932,1.22,0,1,0,1,0.5
std_group,0.5173208290323015,0.9108180767976143,0.018677603267133237,1.16,1,1,0,1,0.75
avg_mendeleev_no,0.21881358314641777,0.7205996732855096,0.025063406694680452,1.04,0,1,0,1,0.5
std_mendeleev_no,0.6128918434237253,0.8746289727196103,0.012079624393954873,2.56,1,1,0,0,0.5
avg_en_allen,0.5060240025281586,0.8854582754431526,0.020601999843493105,1.6,1,1,0,1,0.75
std_en_allen,0.6260824424339789,0.9690910841566546,0.027735873302444817,1.9,1,1,0,1,0.75
avg_IE1,0.16905702268868184,0.7184506366091583,0.01381117396056652,1.86,0,1,0,1,0.5
std_IE1,0.3780558311953409,0.7411909078825738,0.01204147626645863,2.32,1,1,0,0,0.5
avg_EA,0.0912089365166878,0.7295280014359576,0.014578363439068199,1.9,0,1,0,1,0.5
std_EA,0.08657806754940146,0.6866768479453418,0.0072484297724440695,5.58,0,1,0,0,0.25
avg_melting_point,0.704774278142468,0.9774487459828383,0.21362605273723603,1.0,1,1,1,1,1.0
std_melting_point,0.21336682333861354,0.6841565179591896,0.01873729133978486,1.04,0,1,0,1,0.5
DeltaH_mix,0.23124918343025486,0.7229368809582212,0.023825300242751837,1.0,0,1,0,1,0.5
d_virt,0.23698482278039562,0.7152830386319537,0.02932187424041331,1.46,0,1,1,1,0.75
