cluster,feature
27,stoich_entropy
6,avg_radius
3,std_radius
5,max_r_ratio
4,min_r_ratio
3,delta
9,avg_eneg
15,std_eneg
17,range_eneg
21,avg_weight
31,std_weight
27,unique_elements
21,avg_Z
31,std_Z
22,avg_VEC
33,std_VEC
21,avg_d
32,std_d
26,frac_d
20,avg_s
20,avg_p
23,avg_f
30,std_s
29,std_p
34,std_f
12,avg_d_shell_n
18,std_d_shell_n
1,avg_group
10,std_group
20,avg_period
29,std_period
2,avg_mendeleev_no
11,std_mendeleev_no
7,avg_en_allen
8,std_en_allen
14,avg_IE1
19,std_IE1
25,avg_EA
35,std_EA
13,avg_melting_point
28,std_melting_point
16,DeltaH_mix
24,d_virt
