feature,mean_spearman,mean_mi,mean_xgb,mean_rfe_rank,sel_spearman,sel_mi,sel_xgb,sel_rfe,stability_S
stoich_entropy,0.06063144116117426,0.34157825749056087,0.0035137932491488754,3.0,0,0,0,1,0.25
avg_radius,0.767869223279321,1.036522071791225,0.20107690006494522,1.0,1,1,1,1,1.0
std_radius,0.44692950753767696,0.7521278035567849,0.0056916819309117276,4.82,1,0,0,1,0.5
max_r_ratio,0.29175754225206774,0.769050579698562,0.003160936790518463,5.68,0,0,0,1,0.25
min_r_ratio,0.38721863528212325,0.7966822601893085,0.004910267265513539,3.48,1,0,0,1,0.5
avg_eneg,0.7070741430027775,1.0137506509678706,0.038496683090925216,1.0,1,1,1,1,1.0
std_eneg,0.25344236402140496,0.8156859111629221,0.005015407260507345,2.68,0,0,0,1,0.25
range_eneg,0.10376937203053621,0.8490697107682165,0.0052108120336197316,2.22,0,0,0,1,0.25
avg_weight,0.10490884251762397,0.7296956791407421,0.003682291186414659,5.34,0,0,0,1,0.25
std_weight,0.097825942902488,0.7575390157812624,0.0026090518513228744,5.14,0,0,0,1,0.25
avg_VEC,0.028199230207093234,0.6576121321529722,0.00442091233911924,5.02,0,0,0,1,0.25
std_VEC,0.19757525454409441,0.7660308328830978,0.0019960965518839658,7.22,0,0,0,0,0.0
std_d,0.0828208928960509,0.8260779995828332,0.0030253922170959415,5.04,0,0,0,1,0.25
frac_d,0.14375672988907978,0.6720328265200115,0.002365105969365686,5.84,0,0,0,1,0.25
avg_s,0.1334562458382989,0.5969764503423799,0.007959867725148798,3.26,0,0,0,1,0.25
avg_f,0.07045859970558747,0.5305602970462899,0.0029469423182308676,8.28,0,0,0,0,0.0
std_s,0.16076671276023868,0.6845954560665253,0.001948882945580408,9.72,0,0,0,0,0.0
std_p,0.13194384727315325,0.6680727418942842,0.0013244321005186066,11.18,0,0,0,0,0.0
std_f,0.020578954952507788,0.4913459650177849,0.0055692458152771,3.26,0,0,0,1,0.25
avg_d_shell_n,0.6029625274670825,0.7606608745509171,0.007102691314648837,2.36,1,0,0,1,0.5
std_d_shell_n,0.15810462709151712,0.6812902839476661,0.0013289117952808738,10.84,0,0,0,0,0.0
avg_group,0.08323361727387685,0.7517737424822749,0.010540145603008567,1.02,0,0,0,1,0.25
std_group,0.6540920800672196,1.1049064828683999,0.013621234265156091,1.0,1,1,0,1,0.75
avg_mendeleev_no,0.19325319426825857,0.7537774815673255,0.004100076844915748,3.98,0,0,0,1,0.25
std_mendeleev_no,0.7140294722834862,1.00578853259915,0.019906685766763986,1.98,1,1,0,1,0.75
avg_en_allen,0.5552233588817352,0.937690078065975,0.015062855994328857,1.0,1,1,0,1,0.75
std_en_allen,0.6456204494768727,1.027174417597327,0.01663340617902577,1.08,1,1,0,1,0.75
avg_IE1,0.3259237524578122,0.8164387785740604,0.002493509356863797,6.34,1,0,0,1,0.5
std_IE1,0.2980881228308075,0.7845395479158246,0.0015422113542445004,9.04,1,0,0,0,0.25
avg_EA,0.26917843399215824,0.7720421532604869,0.0031345759029500187,5.32,0,0,0,1,0.25
std_EA,0.21923488885272818,0.7692543476507767,0.0022904104157350958,6.12,0,0,0,1,0.25
avg_melting_point,0.845373975292605,1.2507836905615708,0.5465921384096145,1.0,1,1,1,1,1.0
std_melting_point,0.2007558771972826,0.7485592709050976,0.010313784535974264,1.0,0,0,0,1,0.25
DeltaH_mix,0.12374032526528492,0.7112735166703023,0.006401369934901595,1.44,0,0,0,1,0.25
d_virt,0.4533638357881849,0.8506772629095303,0.03401128465309739,1.0,1,1,0,1,0.75
