cluster,feature
1,stoich_entropy
23,avg_radius
10,std_radius
11,max_r_ratio
26,min_r_ratio
10,delta
27,avg_eneg
31,std_eneg
35,range_eneg
16,avg_weight
13,std_weight
2,unique_elements
16,avg_Z
13,std_Z
18,avg_VEC
29,std_VEC
17,avg_d
14,std_d
28,frac_d
16,avg_s
16,avg_p
19,avg_f
12,std_s
12,std_p
15,std_f
5,avg_d_shell_n
3,std_d_shell_n
24,avg_group
7,std_group
16,avg_period
12,std_period
25,avg_mendeleev_no
8,std_mendeleev_no
21,avg_en_allen
22,std_en_allen
6,avg_IE1
33,std_IE1
32,avg_EA
30,std_EA
9,avg_melting_point
4,std_melting_point
34,DeltaH_mix
20,d_virt
