feature,mean_spearman,mean_mi,mean_xgb,mean_rfe_rank,sel_spearman,sel_mi,sel_xgb,sel_rfe,stability_S
stoich_entropy,0.08323027981291457,0.7880088001584099,0.001632081128191203,1.06,0,0,0,0,0.0
avg_radius,0.04621892453599303,1.0288584225995963,0.005612318245694041,1.0,0,0,0,1,0.25
std_radius,0.08613959385477564,0.9821032707459115,0.00313868572935462,1.0,0,0,0,1,0.25
max_r_ratio,0.16282578195491668,0.9917371390414965,0.005279320357367397,1.0,0,0,0,1,0.25
min_r_ratio,0.04956218068230138,1.0060547049902966,0.002338167435955256,1.0,0,0,0,1,0.25
avg_eneg,0.25971114057948724,1.0249764547901594,0.009925908371806146,1.0,1,0,0,1,0.5
std_eneg,0.2587331980365729,0.9503090006382416,0.003319810046814382,1.0,0,0,0,1,0.25
range_eneg,0.06755505329238361,0.5723896839516532,0.0033419625367969276,1.0,0,0,0,1,0.25
avg_weight,0.6853953788648885,1.3855264568015155,0.006425796097610146,1.06,1,1,0,0,0.5
std_weight,0.04502944084942036,1.0082353892321825,0.001707709658658132,1.12,0,0,0,0,0.0
unique_elements,0.11113898641120809,0.16760495693275165,0.0020617791905533523,1.12,0,0,0,0,0.0
avg_VEC,0.7490436616511144,1.3856840209250527,0.047439460679888724,1.0,1,1,1,1,1.0
std_VEC,0.1673443707826283,0.9968979490244219,0.005999791820067912,1.0,0,0,0,1,0.25
avg_d,0.660124252616127,1.222136796865387,0.037845577336847784,1.0,1,1,0,1,0.75
std_d,0.1539341057777015,0.9815028098432077,0.004042181253898889,1.0,0,0,0,1,0.25
frac_d,0.051171085881850514,1.0460174676498695,0.0016516007320024073,1.02,0,0,0,0,0.0
avg_f,0.7167459046810701,1.3622721777710773,0.02745481185615063,1.0,1,1,0,1,0.75
std_s,0.20153503075274457,0.9699947155895692,0.0038567885383963586,1.0,0,0,0,1,0.25
std_f,0.3124814423313965,1.0043651253749422,0.0055128646455705164,1.0,1,0,0,1,0.5
avg_d_shell_n,0.2553677194775927,1.0166236118482161,0.023280135076493024,1.0,0,0,0,1,0.25
std_d_shell_n,0.16284731207760816,1.0098804371563956,0.007703715413808823,1.0,0,0,0,1,0.25
avg_group,0.18287180912431175,0.9439945756617906,0.0365761873498559,1.0,0,0,0,1,0.25
std_group,0.16268169878600458,1.0038533167899966,0.016751856561750173,1.0,0,0,0,1,0.25
avg_mendeleev_no,0.023113908332214956,1.023041782885342,0.00775890245102346,1.0,0,0,0,1,0.25
std_mendeleev_no,0.36297169282946257,0.9910039574372003,0.005627069566398859,1.0,1,0,0,1,0.5
avg_en_allen,0.10996683870988061,1.0459726993813938,0.005492421360686422,1.0,0,0,0,1,0.25
std_en_allen,0.17081558789321655,1.0424067397265988,0.004895418947562576,1.0,0,0,0,1,0.25
avg_IE1,0.43489639402096175,1.063176349814572,0.013628749921917916,1.0,1,0,0,1,0.5
std_IE1,0.21335663877411865,0.9276845577127188,0.0024885983741842212,1.0,0,0,0,1,0.25
avg_EA,0.2181969884858746,0.9117510515077017,0.001758650289848447,1.14,0,0,0,0,0.0
std_EA,0.2429987081516938,0.8880269721090691,0.005657356325536966,1.0,0,0,0,1,0.25
avg_melting_point,0.4823438647037533,1.1010266765105172,0.03005698438733816,1.0,1,1,0,1,0.75
std_melting_point,0.0665138882506228,0.8992568562033995,0.001893303154502064,1.0,0,0,0,1,0.25
DeltaH_mix,0.24967009825623496,0.8508525693504129,0.002581299177836627,1.0,0,0,0,1,0.25
d_virt,0.9069258273900993,1.9251296774390907,0.6552627360820771,1.0,1,1,1,1,1.0
