cluster,feature
8,stoich_entropy
15,avg_radius
1,std_radius
25,max_r_ratio
2,min_r_ratio
1,delta
18,avg_eneg
12,std_eneg
3,range_eneg
19,avg_weight
20,std_weight
4,unique_elements
19,avg_Z
20,std_Z
19,avg_VEC
20,std_VEC
19,avg_d
20,std_d
23,frac_d
19,avg_s
22,avg_p
19,avg_f
20,std_s
20,std_p
21,std_f
6,avg_d_shell_n
20,std_d_shell_n
14,avg_group
16,std_group
22,avg_period
20,std_period
14,avg_mendeleev_no
16,std_mendeleev_no
17,avg_en_allen
13,std_en_allen
24,avg_IE1
5,std_IE1
9,avg_EA
10,std_EA
7,avg_melting_point
20,std_melting_point
11,DeltaH_mix
19,d_virt
26,Creep strength Stress (Mpa)
1,1-mr
