feature,mean_spearman,mean_mi,mean_xgb,mean_rfe_rank,sel_spearman,sel_mi,sel_xgb,sel_rfe,stability_S
stoich_entropy,0.28257423764952966,0.6705743463446026,0.0029309020287473686,10.68,0,0,0,0,0.0
avg_radius,0.2578997598091369,0.7728573293494082,0.04485043059336022,3.46,0,0,1,1,0.5
std_radius,0.11815312852904886,0.9261992146878139,0.010106908790767193,6.04,0,1,0,1,0.5
max_r_ratio,0.299193060016332,0.7495823657072959,0.038004368799738585,4.4,0,0,0,1,0.25
min_r_ratio,0.23283830432862057,0.5702057469478135,0.04130331124179065,1.68,0,0,0,1,0.25
avg_eneg,0.34158949289052176,0.5951988724033133,0.010509371873195051,9.22,0,0,0,0,0.0
std_eneg,0.24803217722771242,0.6254688473226789,0.0052472132843104195,11.0,0,0,0,0,0.0
range_eneg,0.06384290819972847,0.7570004904942077,0.012622220846394612,13.02,0,0,0,0,0.0
avg_weight,0.47380795884572435,0.8430891429599693,0.043824908481910826,2.54,0,0,0,1,0.25
std_weight,0.5105481323586661,0.8737711232601528,0.017180587528273464,3.64,1,0,0,1,0.5
unique_elements,0.11767438270967936,0.5559623128455753,0.0018152765215700129,14.86,0,0,0,0,0.0
frac_d,0.41263360218848305,0.6761317400366793,0.007097220366122201,8.66,0,0,0,1,0.25
avg_p,0.364410344532814,0.7793488296667747,0.008559719491750002,6.22,0,0,0,1,0.25
std_f,0.49717551515519176,0.8801141740638937,0.008189385052646684,10.4,0,0,0,0,0.0
avg_d_shell_n,0.0966004353111937,0.7718815870886943,0.006523552340077003,10.54,0,0,0,0,0.0
avg_group,0.3541912352370622,0.7135668460354248,0.03196971691446379,3.96,0,0,0,1,0.25
std_group,0.38033396829361843,0.7237219246318958,0.0429296633930062,3.84,0,0,0,1,0.25
avg_en_allen,0.3341413870438317,0.5826806605004674,0.002910346827993635,13.08,0,0,0,0,0.0
std_en_allen,0.11564445406432174,0.6010488832302385,0.0024850317035452463,11.84,0,0,0,0,0.0
avg_IE1,0.31612477258925603,0.6824544057170931,0.006184642762527801,8.66,0,0,0,0,0.0
std_IE1,0.09342012352478742,0.6281973523302434,0.0034459871525177733,11.0,0,0,0,0,0.0
avg_EA,0.30248092619871103,0.6611530967180863,0.0009168512094765901,15.08,0,0,0,0,0.0
std_EA,0.09457590117438772,0.6323957337200138,0.002414323991397396,10.96,0,0,0,0,0.0
avg_melting_point,0.10469181263521352,0.7187827041197761,0.001345000441215234,15.42,0,0,0,0,0.0
DeltaH_mix,0.14776583883928668,0.6765499178261208,0.00439254819706548,10.18,0,0,0,0,0.0
Creep strength Stress (Mpa),0.9545984532596364,1.8595354262165245,0.6422405159473419,1.0,1,1,1,1,1.0
