cluster,feature
14,stoich_entropy
16,avg_radius
8,std_radius
13,max_r_ratio
11,min_r_ratio
8,delta
18,avg_eneg
2,std_eneg
11,range_eneg
22,avg_weight
5,std_weight
12,unique_elements
22,avg_Z
5,std_Z
21,avg_VEC
3,std_VEC
21,avg_d
6,std_d
25,frac_d
28,avg_s
24,avg_p
10,avg_f
6,std_s
6,std_p
10,std_f
24,avg_d_shell_n
26,std_d_shell_n
15,avg_group
1,std_group
24,avg_period
6,std_period
15,avg_mendeleev_no
1,std_mendeleev_no
19,avg_en_allen
2,std_en_allen
27,avg_IE1
9,std_IE1
20,avg_EA
4,std_EA
17,avg_melting_point
7,std_melting_point
29,DeltaH_mix
23,d_virt
30,inv_T
