feature,mean_spearman,mean_mi,mean_xgb,mean_rfe_rank,sel_spearman,sel_mi,sel_xgb,sel_rfe,stability_S
stoich_entropy,0.2582443459696292,0.694959971646889,0.0017962999269366265,3.88,0,1,0,1,0.5
avg_radius,0.3344896733126299,0.6656978150411993,0.004697779302950948,2.96,0,1,0,1,0.5
std_radius,0.0699176647094034,0.5899718717770499,0.004498050217371201,3.8,0,1,0,1,0.5
max_r_ratio,0.251634784662073,0.7252455928722574,0.007179930995916948,2.52,0,1,0,1,0.5
min_r_ratio,0.3120763153297986,0.7452002520248142,0.009491853395011275,3.08,0,1,0,1,0.5
avg_eneg,0.40625648648635354,0.6203237538990948,0.004673610710306093,2.54,1,1,0,1,0.75
std_eneg,0.17159203698534384,0.6346127475346417,0.0068463074341707396,3.18,0,1,0,1,0.5
avg_weight,0.6635194040808888,0.784823129293283,0.5180998008305323,1.16,1,1,1,1,1.0
std_weight,0.08024515020747097,0.6632479963412075,0.010450433169025927,3.66,0,1,0,1,0.5
unique_elements,0.27308602161450307,0.6789499180316247,0.06889652021491202,1.98,0,1,0,1,0.5
avg_VEC,0.47322536788820035,0.5902076008360226,0.0031782619184377837,4.94,1,1,0,1,0.75
std_VEC,0.25138397997825546,0.6672543158078537,0.004527316977473674,4.94,0,1,0,1,0.5
std_d,0.14114356318893778,0.7000549020210552,0.012323114894552418,5.24,0,1,0,1,0.5
frac_d,0.5516635743942762,0.7432811162460352,0.00888191199861467,2.66,1,1,0,1,0.75
avg_s,0.6362173807441797,0.7581196803480235,0.04070502756541828,1.74,1,1,0,1,0.75
avg_p,0.7240632595497078,0.8052827681566269,0.08248958549229428,1.32,1,1,1,1,1.0
avg_f,0.3407428367648664,0.3026034973565239,0.0023005650189026026,9.58,0,0,0,0,0.0
std_d_shell_n,0.6903740401414222,0.834223304607695,0.03486777590514976,3.16,1,1,0,1,0.75
avg_group,0.457181842938138,0.6693390467270116,0.035922291255556044,1.64,1,1,0,1,0.75
std_group,0.2549574789403122,0.6383860380530325,0.006918081421172246,2.36,0,1,0,1,0.5
avg_en_allen,0.296412371310647,0.5466316296737652,0.005491451463894919,3.94,0,1,0,1,0.5
avg_IE1,0.5932009539353313,0.6562412355484858,0.059324802616611126,1.0,1,1,0,1,0.75
std_IE1,0.5452527270690812,0.6661449783457496,0.0019748856240039457,5.36,1,1,0,1,0.75
avg_EA,0.07710065263028175,0.553851667887175,0.0067038686358137055,4.68,0,1,0,1,0.5
std_EA,0.0761824724272458,0.5207653245869434,0.0016500717237681783,7.06,0,0,0,0,0.0
avg_melting_point,0.5594840390495036,0.7414271051925826,0.008384117811656324,2.86,1,1,0,1,0.75
std_melting_point,0.34686689580285596,0.5467888248346732,0.0044569064126699235,4.74,1,1,0,1,0.75
DeltaH_mix,0.7225538681585953,0.7366359730343592,0.029605797519907356,1.08,1,1,0,1,0.75
d_virt,0.567620103910055,0.7748544035353312,0.009261866072774865,4.98,1,1,0,1,0.75
inv_T,0.08844613962899686,0.5631563099722551,0.004401699439622462,1.0,0,1,0,1,0.5
