;Sc;Ga;Zr;Ru;Rh;Cd;In;Te;Hf;Re;Ir;Pd;La;As;Bi;Co;Sm;Sb;V;Ce;Ag;Ge;Mo;Y;Ta;Pt;Au;Zn;Hg;Pb;Cu;W;Mn;Sn;Cr;Ni;Nb;Mg;Al;Si;Ti;Fe
Sc;1.0;0.6903508793966132;0.7742915697434565;0.3195587189375427;0.37550293628237497;0.70215991250451;0.7427981526104122;0.7189643971578913;0.7742915697434565;0.6750321720776765;0.3195587189375427;0.5966128285454046;0.7159970554625321;0.8102163671648299;0.7232034005133522;0.8064660784112695;0.7757824827163187;0.7245285901541224;0.7807125568624176;0.6311255113788148;0.6956328561065815;0.6534545838969699;0.6506207959127692;0.7082861375844259;0.30952401840000554;0.29375061983824813;0.6760568668406195;0.70215991250451;0.640657875817012;0.722438874116618;0.7149157884769372;0.6496897412463589;0.3570624031363006;0.7133741964056355;0.22274885998902794;0.6266478698919999;0.1656410178314711;0.6449888279976865;0.6897422479207042;0.6555947464638647;0.7742915697434565;0.5907960697601637
Ga;0.6903508793966132;1.0;0.8189753862045167;0.04620016489932549;0.05622436712021546;0.8833901662726376;0.8980309166237536;0.9556584441403188;0.8189753862045167;0.9293500666976008;0.04620016489932549;0.09994614158495796;0.5597716073453244;0.8962724316409368;0.978581585261181;0.49092403235181553;0.803784413265777;0.9657152218659426;0.7680125445017242;0.37994886086660723;0.871851469136268;0.8338345715386208;0.9095640724853551;0.942011073223646;0.1840809995425011;0.04161229426265251;0.6481685316874369;0.8833901662726376;0.9696512674151779;0.9474156959243042;0.9499320912858769;0.9724648526436364;0.1143447944606106;0.6285715201932318;0.060757652315213684;0.10911680005476929;0.036603736118141175;0.9747690034382323;0.9999952773518318;0.9799865042991878;0.8189753862045167;0.31720625606199687
Zr;0.7742915697434564;0.8189753862045167;1.0;0.29485332685490284;0.2949291299332388;0.7355224722763894;0.7480412734061765;0.7820010794936588;0.9999999999999999;0.7697688720759713;0.29485332685490284;0.24377511675493593;0.5765989410469604;0.7404771743423467;0.8119431603177081;0.3978390599892951;0.7523734984312471;0.8009612249352748;0.7177498806034027;0.43690416033270135;0.7116237765515514;0.7175892408339045;0.7576406079144785;0.82037923630847;0.13552319711111593;0.29384719961630673;0.5312372315353249;0.7355224722763894;0.8115335416964048;0.7819972601569871;0.7762364642839311;0.81263743317546;0.3566560259488541;0.5315736884496043;0.266674012212268;0.08517032291440121;0.029075818301086343;0.8123916742761386;0.8188925101940264;0.8145597012739109;0.9999999999999999;0.3745096428013656
Ru;0.3195587189375426;0.0462001648993255;0.29485332685490284;1.0;0.9948286966024013;0.09994125522163444;0.10362671197336533;0.0737702560832467;0.29485332685490284;0.05435513533082682;1.0;0.7981097231421597;0.09724895184562737;0.12954603043284696;0.04923947191758188;0.21248875536395054;0.07339967347307481;0.060826529015956345;0.14665153822275712;0.10469196131205877;0.09650895717437784;0.08360647991932453;0.045054819729537676;0.03303818358299272;0.036159194078942754;0.9989896398843034;0.24606450653240955;0.09994125522163444;0.015381280709598889;0.05874076218026788;0.07578222417436625;0.020364607655471254;0.7431778016580682;0.09782259438088683;0.8330919828637096;0.2369320176952931;0.015982924043508397;0.018947130660916543;0.04581218378319628;0.03221114782464488;0.29485332685490284;0.09502273150428074
Rh;0.37550293628237497;0.05622436712021547;0.29492912993323883;0.9948286966024013;1.0;0.11287201695343063;0.12275863370441494;0.09071097437661706;0.29492912993323883;0.06707728606734568;0.9948286966024013;0.8551204213916337;0.10819934660696474;0.1631917877997034;0.06303894674379881;0.2932087934514807;0.08333057779190332;0.07507666271805061;0.1567788251527991;0.1148796653855375;0.11280237308600928;0.09532195989598052;0.05578398801304142;0.040437642062391;0.049114164419234004;0.9892590301505116;0.274423736941865;0.11287201695343063;0.021606896910200554;0.07164779969805771;0.09306301704214853;0.027643096996911254;0.7273904216378558;0.14640394036364265;0.8155259583166753;0.33438181782478266;0.021593226044254926;0.025322538406079727;0.05580961178002164;0.039120535337296064;0.29492912993323883;0.10525975881070868
Cd;0.7021599125045099;0.8833901662726377;0.7355224722763894;0.09994125522163444;0.11287201695343063;1.0;0.9919641838503465;0.8990819054201583;0.7355224722763894;0.88983543812644;0.09994125522163444;0.16087900599740823;0.6426639279887312;0.9456511527137716;0.9307483634592959;0.5013168000234883;0.8077645897691826;0.9349559692360089;0.7765307987925697;0.5029692974039252;0.9726441618920902;0.862354609117594;0.8794568029420661;0.8546408338129671;0.20631667232429451;0.0938900320293647;0.8082004229632077;1.0;0.8302837252879689;0.9757695936351422;0.8882685244502274;0.8261987403907243;0.21175205195114877;0.6201564237482032;0.17775359330604948;0.15231042445926782;0.006383580167339103;0.8329864625258987;0.881945720670863;0.8260451632479673;0.7355224722763894;0.4524988098214076
In;0.7427981526104123;0.8980309166237535;0.7480412734061765;0.10362671197336533;0.12275863370441495;0.9919641838503466;1.0;0.91982022939823;0.7480412734061765;0.9093410424070675;0.10362671197336533;0.20045952915182286;0.6451365829538624;0.9733767824659862;0.9487519329899635;0.565527984151148;0.8224076104861788;0.9522284395221757;0.783555600064078;0.49704552933222024;0.9694789879103088;0.8632573274201888;0.8977277366184678;0.8814350583369356;0.25018611080966796;0.09481946239001512;0.7930100834002619;0.9919641838503466;0.8532620155479158;0.97595788465678;0.9102410716317181;0.8520262057106424;0.203158384658949;0.7122902078793468;0.15692227482734852;0.21268231213183386;0.031162508077425377;0.8554784544899909;0.8967239180290313;0.849976917807143;0.7480412734061765;0.44458599317548586
Te;0.7189643971578913;0.9556584441403186;0.7820010794936589;0.07377025608324671;0.09071097437661707;0.8990819054201582;0.9198202293982302;1.0;0.7820010794936589;0.9790130793630126;0.07377025608324671;0.1633529234991551;0.5369873831586438;0.9432832061357056;0.9743540238408676;0.6074003610505527;0.775259335905065;0.9610747432143353;0.7332054059720097;0.3611707827030178;0.9209917435466335;0.8441540272613791;0.9586329200492992;0.9125055473380856;0.27680212163507717;0.06603104607822581;0.7112290472693361;0.8990819054201582;0.9334664760099128;0.9482721196539436;0.9995447018280731;0.9355528872019904;0.12226904672863338;0.6661496304683057;0.08200304464100623;0.183171830579785;0.011742659921831206;0.9403405188857246;0.9552941432987458;0.9374309157753589;0.7820010794936589;0.30059430384641256
Hf;0.7742915697434564;0.8189753862045167;0.9999999999999999;0.29485332685490284;0.2949291299332388;0.7355224722763894;0.7480412734061765;0.7820010794936588;1.0;0.7697688720759713;0.29485332685490284;0.24377511675493593;0.5765989410469604;0.7404771743423467;0.8119431603177081;0.3978390599892951;0.7523734984312471;0.8009612249352748;0.7177498806034027;0.43690416033270135;0.7116237765515514;0.7175892408339045;0.7576406079144785;0.82037923630847;0.13552319711111593;0.29384719961630673;0.5312372315353249;0.7355224722763894;0.8115335416964048;0.7819972601569871;0.7762364642839311;0.81263743317546;0.3566560259488541;0.5315736884496043;0.266674012212268;0.08517032291440121;0.029075818301086343;0.8123916742761386;0.8188925101940264;0.8145597012739109;0.9999999999999999;0.3745096428013656
Re;0.6750321720776764;0.9293500666976007;0.7697688720759714;0.05435513533082682;0.06707728606734568;0.8898354381264398;0.9093410424070675;0.9790130793630125;0.7697688720759714;1.0;0.05435513533082682;0.1219294711966234;0.514354613569405;0.9241264120385487;0.960750294834293;0.5501221080814932;0.7613432258814601;0.9458071964353225;0.7044493058114906;0.33498752067706716;0.9120681507825805;0.8374438143615449;0.9964716696756833;0.9110796099910194;0.22722951861920532;0.048546585413682154;0.6511342252812995;0.8898354381264398;0.9272549952329794;0.9302389163576329;0.9780353470034897;0.9244603475358985;0.1050229946025312;0.6569296961117602;0.05047456197532121;0.13725923523890665;0.00884490662243301;0.9335061225501661;0.9288941172234764;0.9243208886655805;0.7697688720759714;0.27396702151740326
