;Mn;Pd;Cr;Rh;Pt;Ru;Ir;Ta;Nb;Sn;Sc;Co;Ni;Sm;V;La;Ce;Fe;Au;Ti;Zr;Hf;As;Ag;In;Zn;Ge;Cd;Te;Cu;Re;Mo;Y;Pb;Bi;Sb;Ga;Al;Si;Hg;W;Mg
Mn;1.0;0.518353621877036;0.6952375853810605;0.7273904216378558;0.7477119485594067;0.7431778016580681;0.7431778016580681;0.07735667057964501;0.0788900289148879;0.11302591749983057;0.3570624031363005;0.0983234991981981;0.0618321091507159;0.3188732028690931;0.3676796360153442;0.39588188904248783;0.41585697341107963;0.4092479517978176;0.260984712853835;0.3566560259488541;0.3566560259488541;0.3566560259488541;0.17361472422330312;0.17609322113009235;0.20315838465894892;0.21175205195114877;0.21175205195114877;0.21175205195114877;0.12226904672863337;0.11776801250921382;0.10502299460253123;0.09859169717212181;0.1726594866040699;0.17226479519811358;0.1391526904747437;0.15021507907635684;0.1143447944606106;0.11361801819537772;0.09298173116385187;0.09171419032376564;0.09364053038350356;0.08994517740892596
Pd;0.518353621877036;1.0;0.5818929468664777;0.8551204213916338;0.7702512102637795;0.7981097231421594;0.7981097231421594;0.1068896415973887;0.04684887668045599;0.3681874356570543;0.5966128285454043;0.6555806660186092;0.773904936418121;0.12102551689019841;0.1856167977961522;0.14711695931367932;0.14883857287201976;0.14119091166306413;0.37887904380279336;0.24377511675493596;0.24377511675493593;0.24377511675493593;0.3088133915095146;0.17945403852258135;0.20045952915182275;0.16087900599740823;0.16087900599740823;0.16087900599740823;0.16335292349915503;0.16703497247531573;0.12192947119662342;0.1022587694406149;0.07199614634341565;0.1273815758220552;0.12391784076184689;0.1369251266243195;0.09994614158495796;0.09946964235565574;0.0698198795885606;0.049621078794186736;0.06058968141921092;0.054046891243795615
Cr;0.6952375853810604;0.5818929468664777;1.0;0.8155259583166755;0.8381165530785625;0.8330919828637094;0.8330919828637094;0.04559258329582834;0.0010471197125026662;0.009161841208324672;0.22274885998902788;0.09017899778913245;0.07056990979253307;0.07315014841524241;0.1296974270717464;0.10624153066139201;0.11960906776234768;0.11222330629076345;0.28433297983638295;0.266674012212268;0.266674012212268;0.266674012212268;0.12338686210891678;0.14751299780468202;0.15692227482734852;0.1777535933060495;0.1777535933060495;0.1777535933060495;0.08200304464100625;0.0817058382622743;0.05047456197532123;0.037274518551865546;0.021432210077340162;0.10306447841992704;0.060969315566827074;0.0799451568983519;0.0607576523152137;0.059943646463136574;0.014207959679020086;0.007594101616370631;0.0047214821941048615;0.020160661843452603
Rh;0.7273904216378558;0.8551204213916338;0.8155259583166755;1.0;0.9892590301505118;0.9948286966024011;0.9948286966024011;0.04911416441923401;0.021593226044254926;0.14640394036364263;0.3755029362823749;0.29320879345148076;0.3343818178247827;0.08333057779190332;0.15677882515279912;0.10819934660696477;0.1148796653855375;0.10525975881070868;0.27442373694186506;0.2949291299332389;0.2949291299332389;0.2949291299332389;0.16319178779970336;0.11280237308600927;0.12275863370441491;0.11287201695343065;0.11287201695343065;0.11287201695343065;0.09071097437661706;0.09306301704214855;0.06707728606734571;0.05578398801304143;0.04043764206239101;0.0716477996980577;0.0630389467437988;0.0750766627180506;0.056224367120215474;0.05580961178002164;0.039120535337296064;0.021606896910200558;0.02764309699691125;0.02532253840607973
Pt;0.7477119485594067;0.7702512102637795;0.8381165530785626;0.9892590301505116;1.0;0.9989896398843033;0.9989896398843033;0.03030764695583575;0.013447774925332836;0.07600380138153297;0.293750619838248;0.1760711038806845;0.19303120663384746;0.0687633662725285;0.14168671189803245;0.09208287587289508;0.09983880723354922;0.09017964739913799;0.2327045493793329;0.2938471996163068;0.2938471996163068;0.2938471996163068;0.11423124857888821;0.08898115892533867;0.0948194623900151;0.09389003202936469;0.09389003202936469;0.09389003202936469;0.06603104607822581;0.06788590248055612;0.04854658541368219;0.04015879589789277;0.029655116645287624;0.05283593796704657;0.0429711052598761;0.05432053584102033;0.04161229426265252;0.04123743989297882;0.02904765395799173;0.012575853847049774;0.017076871085723394;0.016063662400822253
Ru;0.7431778016580681;0.7981097231421596;0.8330919828637094;0.9948286966024013;0.9989896398843032;1.0;1.0;0.03615919407894275;0.01598292404350839;0.0978225943808868;0.31955871893754256;0.21248875536395054;0.23693201769529304;0.07339967347307483;0.1466515382227571;0.09724895184562739;0.10469196131205874;0.09502273150428073;0.2460645065324095;0.29485332685490273;0.2948533268549028;0.2948533268549028;0.12954603043284693;0.09650895717437781;0.10362671197336529;0.09994125522163444;0.09994125522163444;0.09994125522163444;0.0737702560832467;0.07578222417436625;0.054355135330826844;0.045054819729537676;0.033038183582992715;0.05874076218026787;0.04923947191758188;0.060826529015956324;0.046200164899325484;0.04581218378319627;0.032211147824644876;0.015381280709598894;0.020364607655471247;0.018947130660916543
Ir;0.7431778016580681;0.7981097231421596;0.8330919828637094;0.9948286966024013;0.9989896398843032;1.0;1.0;0.03615919407894275;0.01598292404350839;0.0978225943808868;0.31955871893754256;0.21248875536395054;0.23693201769529304;0.07339967347307483;0.1466515382227571;0.09724895184562739;0.10469196131205874;0.09502273150428073;0.2460645065324095;0.29485332685490273;0.2948533268549028;0.2948533268549028;0.12954603043284693;0.09650895717437781;0.10362671197336529;0.09994125522163444;0.09994125522163444;0.09994125522163444;0.0737702560832467;0.07578222417436625;0.054355135330826844;0.045054819729537676;0.033038183582992715;0.05874076218026787;0.04923947191758188;0.060826529015956324;0.046200164899325484;0.04581218378319627;0.032211147824644876;0.015381280709598894;0.020364607655471247;0.018947130660916543
Ta;0.07735667057964501;0.10688964159738872;0.04559258329582834;0.04911416441923402;0.03030764695583575;0.03615919407894275;0.03615919407894275;1.0;0.5506356853229875;0.3968256938720048;0.30952401840000543;0.43557060551788296;0.13427496958380833;0.2674882327305538;0.30127518914706075;0.30018892100017197;0.2957238175553457;0.29304894601092263;0.2688938215915458;0.13552319711111593;0.13552319711111593;0.13552319711111593;0.3200221193306037;0.23587978234606374;0.2501861108096679;0.20631667232429446;0.20631667232429446;0.20631667232429446;0.2768021216350772;0.2841051863117704;0.22722951861920543;0.20151662392624187;0.18456765607480488;0.1976050106967165;0.2095404000428387;0.20905466751200177;0.18408099954250112;0.18379353811971802;0.1754576695116958;0.14439132625078932;0.15813823306062927;0.15731738853770277
Nb;0.0788900289148879;0.046848876680455995;0.0010471197125026662;0.021593226044254926;0.013447774925332836;0.01598292404350839;0.01598292404350839;0.5506356853229875;1.0;0.17052222195628522;0.165641017831471;0.05076759600826726;0.05824207619022442;0.23831644778841798;0.31190100530915055;0.3508757761853406;0.3920325348994262;0.4029439590344641;0.07620013661504914;0.029075818301086343;0.029075818301086343;0.029075818301086343;0.0512369587448027;0.014046337211816967;0.03116250807742537;0.006383580167339103;0.006383580167339103;0.006383580167339103;0.011742659921831206;0.01172584215162314;0.008844906622433011;0.007575438729652232;0.06701441543338048;0.005114173348621591;0.017124514184345425;0.019710685576594084;0.03660373611814119;0.03677375442620267;0.06289476890435275;0.0041788988710746355;0.007695200421848816;0.029832814358575308
Sn;0.11302591749983057;0.3681874356570543;0.009161841208324672;0.14640394036364263;0.07600380138153297;0.0978225943808868;0.0978225943808868;0.3968256938720048;0.1705222219562852;1.0;0.7133741964056353;0.706693137106687;0.4927146311720668;0.6261892048289256;0.5588926870533495;0.4697810937499735;0.339393804462127;0.2981610471570128;0.4468038358000913;0.5315736884496042;0.5315736884496042;0.5315736884496042;0.7869290645991793;0.6145914177973988;0.7122902078793467;0.6201564237482031;0.6201564237482031;0.6201564237482031;0.6661496304683057;0.663159139050621;0.6569296961117606;0.6462934373403325;0.7000891623079576;0.6305059756945359;0.6933407237211111;0.6984890241259207;0.6285715201932319;0.6281430539091839;0.6393957506010799;0.6391499308420568;0.6533865152235255;0.635713845471154
