Tag initial;Nom commercial;Famille;Composition;Normalized Composition;stoich_entropy;avg_radius;std_radius;max_r_ratio;min_r_ratio;delta;avg_eneg;std_eneg;range_eneg;avg_weight;std_weight;unique_elements;avg_Z;std_Z;avg_VEC;std_VEC;avg_d;std_d;frac_d;avg_s;avg_p;avg_f;std_s;std_p;std_f;avg_d_shell_n;std_d_shell_n;avg_group;std_group;avg_period;std_period;avg_mendeleev_no;std_mendeleev_no;avg_en_allen;std_en_allen;avg_IE1;std_IE1;avg_EA;std_EA;avg_melting_point;std_melting_point;DeltaH_mix;d_virt;Formation Enthalpy (eV/atom);Decomposition Energy Per Atom MP (eV/atom);Melting Point (K);Shear Modulus (GPa);Bulk Modulus (GPa);Density;Creep (LMP);Log_10(K_A);G/B ratio;Omega;g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;SR
Cast Alloy 625_0;InconelÃ‚Â 625;Ni-based;Al0.00438C0.00983Cr0.24527Fe0.02114Mn0.00064Mo0.05353Nb0.02478Ni0.63374Si0.00420Ti0.00247;Al0.00438C0.00983Cr0.24527Fe0.02114Mn0.00064Mo0.05353Nb0.02478Ni0.63376Si0.0042Ti0.00247;1.08;136.0;7.57;1.06;0.513;0.0555;1.86;0.152;1.01;59.1;12.0;10.0;27.7;5.03;8.51;2.02;7.58;2.63;0.891;7.78;12.3;0.0;0.682;1.97;0.0;3.02;0.274;8.69;2.03;4.05;0.352;61.9;8.22;10.6;0.939;7.41;0.56;0.982;0.257;1910.0;336.0;-0.067;38.7;-0.20201531;-0.008441905;1638.4774;100.754135;209.22131;8.545151;30.234892;0.62302744;0.48156726;0.75507003;0.76955765;0.55744416;0.41377443;0.0812972938789568;0.8866043544213023;0.66470385;0.23635148;0.15127319;0.2302629962698383;0.22338381;8.72149726944975
Cast Alloy 718_0;InconelÃ‚Â 718;Ni-based;Al0.01283B0.00032C0.00240Cr0.21088Fe0.19117Mn0.00210Mo0.01804Nb0.03230Ni0.51620Si0.00411Ti0.00964;Al0.01283B0.00032C0.0024Cr0.21088Fe0.19117Mn0.0021Mo0.01804Nb0.0323Ni0.51621Si0.00411Ti0.00964;1.32;137.0;5.05;1.06;0.51;0.0368;1.83;0.126;1.01;57.7;9.84;11.0;27.1;4.2;8.35;1.93;7.08;2.34;0.849;7.79;12.2;0.0;0.575;1.56;0.0;2.99;0.226;8.54;1.92;4.03;0.278;61.3;7.8;10.6;0.801;7.45;0.492;0.824;0.398;1880.0;295.0;-0.322;37.2;-0.24430384;-0.0056630448;1663.9651;87.5614;193.97786;8.2485285;30.467087;1.1454207;0.45139894;0.7749883;0.7763489;0.5678968;0.43794423;0.162320734911651;0.7646017092633773;0.72829926;0.09345381;0.16450839;0.5137238611465352;0.091884315;8.72149726944975
Inconel 700_D70_0;InconelÃ‚Â 700;Ni-based;Al0.06227C0.00560Co0.27083Cr0.15402Fe0.00702Mo0.02276Ni0.44826Ti0.02925;Al0.06227C0.0056Co0.27083Cr0.15402Fe0.00702Mo0.02276Ni0.44825Ti0.02925;1.43;135.0;6.07;1.07;0.518;0.0449;1.84;0.137;1.01;56.0;10.5;8.0;26.2;4.66;8.36;2.18;6.69;2.55;0.8;7.72;11.8;0.0;0.662;1.7;0.0;2.82;0.248;9.04;1.98;3.95;0.324;63.4;8.33;10.6;0.827;7.45;0.607;0.855;0.299;1780.0;316.0;-0.109;37.6;-0.26507434;-0.006019838;1590.8124;98.37338;191.87643;8.297255;29.978912;0.8351467;0.5126913;0.7397663;0.761905;0.53776646;0.4339504;0.1559624687045185;0.979647731065278;0.5922047;0.054477736;0.14170887;0.6683583030882436;0.15838505;6.715842291047275
Inconel 738lc_H88_0;InconelÃ‚Â 738Ã‚Â LC;Ni-based;Al0.07191Co0.08230Cr0.17669Mo0.01071Nb0.00553Ni0.59890Ta0.00536Ti0.04053W0.00807;Al0.07191Co0.0823Cr0.17669Mo0.01071Nb0.00553Ni0.5989Ta0.00536Ti0.04053W0.00807;1.28;136.0;3.8;1.07;0.922;0.028;1.82;0.135;0.66;57.1;17.6;9.0;26.7;7.06;8.52;2.69;6.89;3.24;0.808;7.75;11.9;0.188;0.795;2.08;1.61;2.83;0.335;9.05;2.17;3.97;0.376;63.5;9.02;10.6;0.865;7.34;0.532;0.92;0.313;1810.0;377.0;-0.289;38.0;-0.34390354;-0.009817921;1698.7186;97.69371;197.28992;8.261697;31.050888;1.2080781;0.49517843;0.545007;0.7927882;0.5820508;0.43686408;0.07757184495931;0.4249141818290083;0.6337216;0.0042476067;0.058692105;0.4592932569976525;0.081948966;10.402248784022294
Inconel X-750_D70_0;InconelÃ‚Â X?750;Ni-based;Al0.01680C0.00189Cr0.15915Fe0.06597Nb0.00488Ni0.72290Ti0.02842;Al0.0168C0.00189Cr0.15915Fe0.06597Nb0.00488Ni0.72289Ti0.02842;0.914;136.0;3.93;1.07;0.515;0.0289;1.85;0.115;1.01;56.7;5.8;7.0;26.8;2.83;8.91;1.91;7.1;1.81;0.797;7.8;11.9;0.0;0.473;0.883;0.0;2.95;0.0892;9.09;1.82;3.98;0.17;63.4;7.41;10.8;0.731;7.47;0.436;0.968;0.334;1800.0;211.0;-0.27;37.4;-0.17964551;-0.015270383;1638.2161;91.15839;189.68816;8.25711;30.765917;1.4501953;0.48056972;0.71846944;0.7848774;0.5573367;0.4372403;0.0088729176531678;0.4581433908687111;0.66692346;0.35192886;0.12924477;0.1100546651103346;0.052134253;7.413551878819479
IN 100_D70_0;IN?100;Ni-based;Al0.11202C0.00854Co0.13738Cr0.10173Mo0.01744Ni0.54909Ti0.06427V0.00954;Al0.11202C0.00854Co0.13738Cr0.10173Mo0.01744Ni0.54908Ti0.06427V0.00954;1.41;134.0;7.26;1.08;0.521;0.0541;1.83;0.156;1.01;54.0;12.1;8.0;25.4;5.5;8.12;2.62;6.28;3.04;0.774;7.66;11.5;0.0;0.766;2.0;0.0;2.66;0.366;9.32;2.3;3.89;0.389;64.7;9.81;10.6;0.996;7.36;0.693;0.876;0.346;1710.0;347.0;-0.254;37.0;-0.3487391;-0.005418984;1587.2467;94.109695;181.8428;7.928423;30.08292;0.94527537;0.51753324;0.55318475;0.7650353;0.53628886;0.46435863;0.3609541069296488;0.9234698514260914;0.5804614;0.0035392505;0.06099229;0.6402598535135581;0.13118169;7.45978930001596
Waspalloy_D70_0;Waspaloy;Ni-based;Al0.02951C0.00237Co0.12545Cr0.20343Mo0.02489Ni0.57990Ti0.03445;Al0.02951C0.00237Co0.12545Cr0.20343Mo0.02489Ni0.5799Ti0.03445;1.23;136.0;4.52;1.07;0.515;0.0332;1.84;0.134;1.01;56.9;8.9;7.0;26.7;3.95;8.53;2.1;6.98;2.33;0.818;7.75;12.0;0.0;0.569;1.37;0.0;2.93;0.182;8.85;2.0;3.99;0.253;62.5;8.2;10.6;0.827;7.41;0.502;0.926;0.293;1830.0;289.0;-0.333;37.6;-0.26322556;-0.0013931431;1653.5115;98.41069;193.58519;8.332429;30.4031;0.6887894;0.5083586;0.6660266;0.7744917;0.56361645;0.4310726;0.073984973504979;0.6258319795257067;0.60262483;0.057286847;0.102489255;0.3944372285129094;0.20139812;6.254581893462544
Alloy 713C_D70_0;AlloyÃ‚Â 713Ã‚Â C;Ni-based;Al0.13719C0.00725Cr0.13191Mo0.02667Nb0.01230Ni0.67558Ti0.00910;Al0.13719C0.00725Cr0.13191Mo0.02667Nb0.0123Ni0.67558Ti0.0091;1.03;134.0;7.16;1.08;0.521;0.0533;1.84;0.151;1.01;54.4;13.9;7.0;25.7;6.24;8.25;2.66;6.65;3.27;0.807;7.6;11.5;0.0;0.824;2.3;0.0;2.61;0.45;9.69;2.1;3.89;0.439;66.2;9.09;10.6;0.888;7.29;0.688;0.969;0.29;1710.0;404.0;0.185;37.4;-0.3182116;-0.005851852;1607.2104;96.07622;182.37425;8.106082;29.980244;-0.83329874;0.526808;0.44843683;0.76194525;0.54455256;0.4496643;0.2363406252779401;0.941667222126162;0.5577215;0.010648534;0.03704705;0.1872839200786505;0.8411217;7.34004660381626
Alloy 713LC (07)_M68_0;AlloyÃ‚Â 713Ã‚Â LC;Ni-based;Al0.12022B0.00046C0.00275Cr0.13027Fe0.00197Mo0.02556Nb0.01260Ni0.69693Si0.00098Ti0.00827;Al0.12022B0.00046C0.00275Cr0.13027Fe0.00197Mo0.02556Nb0.0126Ni0.69692Si0.00098Ti0.00827;0.999;135.0;5.71;1.08;0.52;0.0424;1.84;0.14;1.01;55.1;13.2;10.0;26.1;5.88;8.39;2.56;6.81;3.12;0.812;7.65;11.6;0.0;0.764;2.14;0.0;2.66;0.403;9.64;2.03;3.91;0.405;66.0;8.73;10.7;0.824;7.31;0.614;0.981;0.284;1730.0;389.0;0.185;37.5;-0.28165162;-0.007159883;1591.5453;93.315;182.96466;8.257355;29.904207;-0.91874987;0.51001656;0.4866083;0.75963897;0.53807;0.4372202;0.1379833316185805;0.9351016345423708;0.5986479;0.03403487;0.044490945;0.1636467554151883;0.8626528;8.118241765854531
B-1900_D70_0;B?1900;Ni-based;Al0.12432C0.00426Co0.09454Cr0.08638Mo0.03377Ni0.63070Ta0.01414Ti0.01188;Al0.12432C0.00426Co0.09454Cr0.08638Mo0.03377Ni0.63071Ta0.01414Ti0.01188;1.23;134.0;6.11;1.08;0.521;0.0455;1.85;0.144;1.05;56.9;19.9;8.0;26.6;8.08;8.59;2.8;6.99;3.65;0.815;7.74;11.7;0.198;0.918;2.59;1.65;2.68;0.471;9.67;1.97;3.93;0.476;66.1;8.46;10.6;0.87;7.37;0.641;0.939;0.302;1730.0;421.0;0.0756;38.9;-0.3031196;-0.008302499;1689.0974;97.33107;182.08191;8.396957;29.952135;-0.9884115;0.53454554;0.5908171;0.76109445;0.57814485;0.42580542;0.055184704010624;0.9867160821086316;0.5385595;0.017563932;0.07270142;0.3944372285129094;0.8783421;7.17165605832699
B-1900+Hf A_J86_0;B?1900Ã‚Â +Ã‚Â Hf;Ni-based;Al0.12679C0.00510Co0.09629Cr0.08769Hf0.00480Mo0.03630Ni0.62495Ti0.01790Zr0.00018;Al0.12679C0.0051Co0.09629Cr0.08769Hf0.0048Mo0.0363Ni0.62495Ti0.0179Zr0.00018;1.24;134.0;6.49;1.15;0.521;0.0483;1.85;0.148;1.25;55.6;16.0;9.0;26.2;6.79;8.42;2.63;6.8;3.35;0.808;7.69;11.6;0.0672;0.835;2.35;0.968;2.65;0.44;9.67;2.0;3.91;0.441;66.1;8.64;10.6;0.889;7.36;0.657;0.935;0.308;1710.0;389.0;0.078;38.1;-0.3022421;-0.0056556202;1614.9761;96.218475;177.94794;8.270689;30.088827;-0.837699;0.5407114;0.5711367;0.76521224;0.54776067;0.43612683;0.1216005358186717;0.9998074482279724;0.52320486;0.018066244;0.06634018;0.4070732481604469;0.84229416;5.443834382785487
Mar-M 200_D70_0;MAR?MÃ‚Â 200;Ni-based;Al0.09921C0.00792Co0.09589Cr0.10182Nb0.00704Ni0.62471Ti0.02361W0.03980;Al0.09921C0.00792Co0.09589Cr0.10182Nb0.00704Ni0.62471Ti0.02361W0.0398;1.27;134.0;6.82;1.08;0.522;0.0509;1.84;0.138;1.01;59.5;27.5;8.0;27.6;10.7;8.98;3.29;7.28;4.32;0.811;7.83;11.9;0.557;1.11;3.04;2.74;2.77;0.506;9.49;2.04;3.97;0.544;65.4;8.63;10.7;0.917;7.42;0.659;0.947;0.298;1780.0;491.0;0.0876;40.9;-0.27349073;-0.007316841;1684.3384;99.67836;191.62506;8.71607;30.199226;-0.019642757;0.5201739;0.6742139;0.7685018;0.5762091;0.40002602;0.0056064149423888;0.9821663106354624;0.57401735;0.043093238;0.10631656;0.4460051413465571;0.5098201;9.744452102762533
