;Mn;Pd;Cr;Rh;Pt;Ru;Ir;Ta;Nb;Sn;Sc;Co;Ni;Sm;V;La;Ce;Fe;Au;Ti;Zr;Hf;Ge;As;Ag;In;Cd;Zn;Te;Cu;Re;Mo;Y;Pb;Bi;Sb;Ga;Al;Si;Hg;W;Mg
Mn;0;0.8507283588;0.7856559223;0.242922635;0.2680492037;0.1515340393;0.1558726211;0.9981449051;0.9919248869;0.9975883585;0.8684806856;0.9901304044;0.9988797781;0.8362434698;0.8648066738;0.7455477814;0.6988709583;0.9290253651;0.9334619319;0.9030890663;0.9640782591;0.9640782591;0.9706083962;0.9803523688;0.9884615594;0.9695505033;0.9985655339;0.9842824161;0.9927991695;0.9909646985;0.99744452;0.9987911593;0.9601177553;0.9971533582;0.9763238214;0.9870930806;0.9792636322;0.9926614991;0.992396285;0.9880298854;0.9886562033;0.9888491439
Pd;0.8507283588;0;0.9109631442;0.1076097619;0.4177646762;0.1478308669;0.1538869009;0.9984805664;0.9981218505;0.9064096997;0.7481508986;0.6477921215;0.8017594109;0.9831973122;0.982696497;0.975096822;0.9715614409;0.983740404;0.7932284776;0.9837440046;0.9572803545;0.9572803545;0.9849601697;0.9792944043;0.973644573;0.9884166259;0.9891806054;0.9795544337;0.9990085833;0.9693290478;0.9968271565;0.9966580954;0.9954018159;0.9942964377;0.9880101927;0.9976578475;0.9885462902;0.9987695872;0.9978703002;0.9975849343;0.9968741668;0.9972649847
Cr;0.7856559223;0.9109631442;0;0.1368531254;0.1584193268;0.05587547202;0.05885225728;0.9998946326;0.9999988632;0.9999626912;0.9637544121;0.9938028095;0.9998288506;0.9929125926;0.988579911;0.9850198711;0.9790943554;0.992075291;0.8998406002;0.9667592542;0.9617909664;0.9617909664;0.988291436;0.994132878;0.9862921143;0.988442794;0.9926121784;0.9807635654;0.9985229587;0.9939482705;0.9999274004;0.9998127138;0.9995099256;0.9982339554;0.996440811;0.9980408225;0.9951068928;0.9988994281;0.9998753572;0.9999329993;0.9999769979;0.999545909
Rh;0.242922635;0.1076097619;0.1368531254;0;4.013365644e-05;5.566045024e-12;4.999284159e-11;0.9977032311;0.9999835469;0.9688242854;0.9528281487;0.9773734793;0.8853483383;0.9977607746;0.9917136439;0.9962095682;0.9939450651;0.9819551097;0.8358658326;0.9480499134;0.865978719;0.865978719;0.999357165;0.983155528;0.9793115575;0.9917554446;0.9842680075;0.9796042487;0.9935231009;0.9834972736;0.9953557381;0.9964597076;0.9998932927;0.9940007695;0.9998168491;0.9960588698;0.9989783521;0.9978272131;0.9994113439;0.999925163;0.9999768315;0.9999259079
Pt;0.2680492037;0.4177646762;0.1584193268;4.013365644e-05;0;4.020546189e-106;3.269740524e-101;0.9993291385;0.9999536439;0.9929081307;0.9930967965;0.9992867894;0.9715286844;0.9974301813;0.9977657064;0.9953789674;0.9932256067;0.9885521275;0.8928104254;0.9684751527;0.8852780626;0.8852780626;0.9990732619;0.9947270508;0.9888809931;0.9971005148;0.991077132;0.9878382597;0.997541171;0.9922350468;0.9980908556;0.9985228528;0.9997481399;0.9973576121;0.999676105;0.9985933998;0.9990579541;0.999190947;0.9998622415;0.9999396963;0.9999266917;0.9999131506
Ru;0.1515340393;0.1478308669;0.05587547202;5.566045024e-12;4.020546189e-106;0;0;0.9984026698;0.9999399945;0.9835563376;0.9378171136;0.9760136279;0.9290453077;0.9997266331;0.9868919604;0.9995182042;0.9979629498;0.9828778437;0.8527485851;0.9240052604;0.8440585947;0.8440585947;0.9976078119;0.984906659;0.9823681173;0.9912330316;0.9849911706;0.9813403702;0.9942530495;0.9875164445;0.9961550003;0.9971436475;0.99977606;0.9950393274;0.9992322228;0.9964162596;0.9998883206;0.9979697971;0.9993206748;0.9999739972;0.9999005069;0.9999444674
Ir;0.1558726211;0.1538869009;0.05885225728;4.999284159e-11;3.269740524e-101;0;0;0.9984325787;0.9999458408;0.9837737997;0.9402608113;0.9770702274;0.9303104897;0.9996027332;0.9873884114;0.9992998698;0.99770993;0.9830827811;0.854007066;0.9260205701;0.845899536;0.845899536;0.9977685072;0.985291393;0.9825794673;0.9914792635;0.9852185829;0.9815669396;0.9943775407;0.9876469687;0.9962225448;0.9971900578;0.9998010575;0.9951181625;0.999287793;0.9965009311;0.9998393835;0.998017824;0.9993444243;0.9999794117;0.9999099992;0.9999526842
Ta;0.9981449051;0.9984805664;0.9998946326;0.9977032311;0.9993291385;0.9984026698;0.9984325787;0;0.6510739197;0.911628754;0.9327970961;0.8473133767;0.9996991402;0.9066587273;0.9399142588;0.8816765422;0.8740199575;0.938610383;0.9071375569;0.9927114797;0.9895872326;0.9895872326;0.9732453148;0.9630425716;0.9612321813;0.9730038315;0.9877226703;0.9716917205;0.9861771716;0.9196659404;0.9957075022;0.9921911276;0.9648002352;0.991292604;0.9592895492;0.9884457163;0.9563234063;0.9911325163;0.9821583184;0.9766177432;0.975146148;0.9733005953
Nb;0.9919248869;0.9981218505;0.9999988632;0.9999835469;0.9999536439;0.9999399945;0.9999458408;0.6510739197;0;0.9566082833;0.9907435284;0.9992803697;0.996593277;0.9829663709;0.9613795074;0.9607332735;0.9267578224;0.7247837611;0.9870218491;0.999496485;0.9986930431;0.9986930431;0.9999121754;0.9982743601;0.9996730024;0.9994399133;0.9999484882;0.9999334902;0.9998871327;0.9997332585;0.9999166619;0.9999327737;0.9998652036;0.9999685764;0.9999761873;0.9997155715;0.9996149481;0.9990100145;0.9983356245;0.9999978178;0.9999997055;0.9999285557
Sn;0.9975883585;0.9064096997;0.9999626912;0.9688242854;0.9929081307;0.9835563376;0.9837737997;0.911628754;0.9566082833;0;0.3032029292;0.3012424058;0.8577417188;0.3199764164;0.6023970031;0.6063614172;0.7808583777;0.9826525457;0.8282590843;0.7054163227;0.9749478512;0.9749478512;0.5355293864;0.2613389301;0.8986405833;0.3937981322;0.8730864528;0.9100162596;0.5893438231;0.6975886596;0.729177564;0.8007237445;0.2339630578;0.8314103383;0.2735948399;0.489741392;0.3150560002;0.6134560724;0.4798424029;0.3297799225;0.3329607423;0.3467977665
Sc;0.8684806856;0.7481508986;0.9637544121;0.9528281487;0.9930967965;0.9378171136;0.9402608113;0.9327970961;0.9907435284;0.3032029292;0;0.9094011688;0.6471783447;0.3947339037;0.9456029737;0.5236705437;0.609258963;0.4898558616;0.2008190064;0.671925936;0.1619549864;0.1619549864;0.8461064307;0.5358378912;0.2879821508;0.7381006683;0.4030364691;0.2817709613;0.5927151603;0.1857219074;0.540227062;0.5390821607;0.6963275325;0.3860729268;0.7615113321;0.6411351385;0.5703390716;0.6944614073;0.9345581176;0.7287026809;0.7888831624;0.7467977599
