;Ag;Al;As;Au;Bi;Cd;Co;Cr;Cu;Fe;Ga;Ge;Hf;Hg;In;Ir;Mg;Mn;Mo;Nb;Ni;Pb;Pd;Pt;Re;Rh;Ru;Sb;Sc;Si;Sn;Ta;Te;Ti;V;W;Y;Zn;Zr
Ag;0.2367616807;0;2.114610746e-07;0.0001132325434;1.146527175e-08;9.603300875e-07;1.258121721e-06;0;0.0002938917086;0;3.045292971e-10;2.407390072e-06;0;3.767003817e-08;1.7730372e-06;0;0;0;3.873387669e-06;1.438060301e-12;0;4.378328052e-07;0;0;2.395360778e-08;0;0;0.0004862681308;9.120960555e-12;0;4.078009822e-08;6.67912861e-11;5.362993514e-08;0;0;3.358854314e-11;9.811622553e-16;0.0003521224004;0
Al;0;0.9981957783;0;0;0;0;0;0;0;0;0.001043824542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.998242065e-05;0;0;0;0
As;0;0;0.082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Au;0.0008997854832;0;2.392467424e-05;0.8478874932;5.085033163e-10;1.794823358e-07;6.736358727e-09;0;1.573583814e-06;0;5.691546092e-11;4.499327876e-07;0;1.412553864e-08;3.199641836e-07;0;0;0;2.07392722e-08;2.351143286e-13;0;5.109722004e-08;0;0;1.282547564e-10;0;0;2.017229458e-05;4.883634168e-14;0;6.667304152e-09;1.091997907e-11;3.240136896e-10;0;0;5.491527557e-12;1.604142085e-16;6.581044552e-05;0
Bi;0;0;0;0;0.09863767357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.811632172e-05;0;0;0;0;0;0
Cd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Co;0;0;0.0001139280121;0;0;0;0.1492499624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.082012175e-06;0;0;0;0;0;0;0;0;0;0
Cr;0;0;0;0;0;0;0;0.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cu;0.004680156875;0;5.099801456e-05;0.0109180548;1.164566338e-05;7.426747286e-07;0.003282597037;0;0.7668002513;0;2.355088277e-10;1.861763774e-06;0;2.117864144e-08;6.596759076e-06;0;0;0;0.01010615322;3.298365476e-11;0;8.046411961e-05;0;0;6.249796075e-05;0;0;2.484898967e-05;2.379772767e-08;0;9.353409451e-07;1.531939044e-09;0.0001364606457;0;0;7.70393919e-10;2.25041447e-14;0.0002723151253;0
Fe;0;0;0;0;0;0;0;0;0;0.9959268238;0;0;0;0;0;0;0;3.345741337e-07;0;0;0;0;0;0;0;0;0;0;2.18588434e-07;0;0;0;0;0;0.002376355252;0;5.671074352e-05;0;0
